id,why_reused,section,flag_count,flags,draft_sentence,nearest_deposit_sentence,ratio,disposition
D0374,supported at high confidence,,0,,"The mined fraction routes out of the four-coordinate natural block; the full-ledger theorems of §4.2–4.3 record the mining column as an internal transfer between compartments outside the block — consistent because the **block** boundary, not the **ledger** boundary, is crossed. $\blacksquare$","The mined fraction routes out of the four-coordinate natural block; the full-ledger theorems of Sections 4.2–4.3 record the mining column as an internal transfer between compartments outside the block — consistent because the block boundary, not the ledger boundary, is crossed. □",0.963,
D0412,supported at high confidence,4.7,0,,This is the finite-budget fact that §9 turns into the non-reduction boundary with the open working system.,This is the finite-budget fact that Section 9 turns into the non-reduction boundary with the open working system.,0.962,
D0414,supported at high confidence,,0,,"**Conditional Theorem 15 (Hybrid moiety balance).** *Let $\chi$ denote the hybrid state and $\eta\ge0$ its primitive-flux vector — letters local to this statement, chosen so that $r$ stays the growth rate of §2.2 and $\nu$ a macro parameter of §5.4.","**Conditional Theorem 15 (Hybrid moiety balance).** *Let $\chi$ denote the hybrid state and $\eta \ge 0$ its primitive-flux vector — letters local to this statement, chosen so that $r$ stays the growth rate of Section 2.2 and $\nu$ a macro parameter of Section 5.4.",0.961,
D0656,supported at high confidence,9,0,,"The five reasons form a trichotomy: **(1)–(3)** are short-time obstructions — the two $A_{\mathrm{act}}$ fields differ by $\kappa_AK-\gamma_UU$ at the same state, which is $O(1)$ at the working point's quasi-rest detritus level ($\approx0.535$) and at most $\kappa_AK=O(5)$ (at $U=0$), and trajectories of the two systems diverge on $O(1)$ timescales; **(5)** is the long-time obstruction — extraction on the closed ledger is $L^1$ in time (Theorem 14); **(4)** is neither — $\varepsilon_G$ is not a tracking error between the two fields at any timescale.","The five reasons form a trichotomy: (1)–(3) are short-time obstructions — the two $A^{\mathrm{act}}$ fields differ by $\kappa_A K - \gamma_U U$ at the same state, which is $O(1)$ at the working point's quasi-rest detritus level ($\approx 0.535$) and at most $\kappa_A K = O(5)$ (at $U = 0$), and trajectories of the two systems diverge on $O(1)$ time scales; (5) is the long-time obstruction — extraction on the closed ledger is $L^1$ in time (Theorem 14); (4) is neither — $\varepsilon_G$ is not a tracking error between the two fields at any time scale.",0.96,
D0075,supported at high confidence,1.1,0,,The size of a pool is a property of the resource.,The size of the pool is a property of the resource.,0.959,
D0050,supported at high confidence,1.1,0,,"The systems-dynamics overshoot models raise the same aggregation question in a moving form (Meadows et al., 1972).","The systems-dynamics overshoot models raise the same aggregation question in dynamic form (Meadows et al., 1972).",0.958,
D0186,signposting: asserts nothing,2.1,0,,This section sets out the discipline that makes conservation a property of the structure rather than an assumption.,This section sets out the incidence discipline that makes conservation a property of the structure rather than an assumption.,0.958,
D0248,supported at high confidence,2.3,0,,Coupled multi-element accounts need additional typed rows and a conservation matrix.,Coupled multi-element accounts require additional typed rows and a conservation matrix.,0.958,
D0166,signposting: asserts nothing,1.2,0,,**What is not claimed.** The article is as explicit about what it does not establish.,**What is not claimed.** The article is equally explicit about what it does not establish.,0.957,
D0283,supported at high confidence,2.5,0,,**The mass-routing discipline** is the same typing made explicit.,The mass-routing discipline is the typing made explicit.,0.956,
D0404,supported at high confidence,,0,,"With $E>0$ constant, no interior rest point (with $N^*>0$) exists (Theorem 12); the extinction face $\mathsf R_{\mathrm{ext}}$ of this set persists at positive effort, because extraction $qEN$ vanishes identically at $N=0$, and it is a boundary rest rather than an interior one.","With $E > 0$ constant, no interior rest point (with $N_* > 0$) exists (Theorem 12); the extinction face $\mathcal{R}_{\mathrm{ext}}$ of this set persists at positive effort, because extraction $qEN$ vanishes identically at $N = 0$, and it is a boundary rest rather than an interior one (Section 4.6).",0.955,
D0700,supported at high confidence,10.3,0,,The non-reduction boundary of §9 is a rejected mapping with five mathematical reasons.,The non-reduction boundary of Section 9 is a rejected mapping with five mathematical reasons.,0.954,
D0686,supported at high confidence,10.1,0,,The reading is the algebraic form of the weak-comparability thesis stated in §1.1.,The reading is the algebraic form of the weak-comparability thesis stated in Section 1.1.,0.951,
D0570,supported at high confidence,7.1,0,,The public-data quantities of §6.5 are constructed proxies on observed series.,The public-data quantities of Section 6.5 are constructed proxies on observed series.,0.949,
D0613,supported at high confidence,7.8,0,,"The inverse-Gaussian results condition on the drift, the barrier and the noise scale.","The inverse-Gaussian results condition on the drift, barrier, and noise scale.",0.949,
D0110,supported at high confidence,1.1,0,,"The United States' phosphate reserves have stayed near 1,000,000 kt for decades, while cumulative production since 1996 is of the order of 600,000 kt.","The United States' phosphate reserves have remained near $1{,}000{,}000$ kt for decades while cumulative production since 1996 is of order $600{,}000$ kt.",0.947,
D0219,supported at high confidence,2.2,0,,Net regeneration is the difference of two non-negative primitives — gross regeneration $rNs$ (support → stock) and density-dependent return $rN^2s/K$ (stock → support) — so (2) stays inside the primitive-flux discipline of §2.1 despite the signed entry.,Net regeneration is the difference of two non-negative primitives — gross regeneration $rNs$ (support $\to$ stock) and density-dependent return $rN^2 s/K$ (stock $\to$ support) — so (2) stays within the primitive-flux discipline of Section 2.1 despite the signed entry.,0.947,
D0546,supported at high confidence,6.5.2,0,,"It is exhibited as the worked instance of the non-compensation boundary of §10.1: a positive aggregate coexisting with componentwise deficits by construction — admissible as communication, **inadmissible as certification**.","The score is exhibited here as the worked instance of the noncompensation boundary of Section 10.1: a positive aggregate coexisting with componentwise deficits by construction — admissible as communication, inadmissible as certification.",0.946,
D0399,signposting: asserts nothing,4.5,0,,"In particular the working point $(N^*,A_{\mathrm{act}}{}^*)=(89.526,\,397.87)$ **is not** a rest point at $E=E^*\approx2.090$: $\dot N=0$ holds there by construction ($R^*=qE^*N^*\approx0.187>0$), and the rest condition of the proof fails on the abiotic pair.*","In particular the working point $(N^*, A^{\mathrm{act}*}) = (89.526, 397.87)$ is not a rest point at $E = E^* \approx 2.090$: $\dot N = 0$ holds there by construction ($R^* = qE^*N^* \approx 0.187 > 0$), and the rest condition of the proof below fails on the abiotic pair.*",0.944,
D0165,supported at high confidence,1.2,0,,"The boundary is the non-reduction theorem: there is no exact dynamic reduction from the closed ledger to the open working system, for five stated mathematical reasons.","The boundary is the non-reduction theorem: no exact dynamic reduction from the closed ledger to the open working system, for five stated mathematical reasons (Section 9).",0.942,
D0152,supported at high confidence,1.2,0,,"The scalar reading is the operational overshoot test, run on top of that.",The scalar reading is the operational overshoot test on top of it.,0.941,
D0193,supported at high confidence,,0,,"A ledger state $x\in\mathbb{R}^m_+$ collects compartments, and each entry carries a material identity, a spatial support and a physical unit.","A ledger state $x \in \mathbb{R}^m_+$ collects compartments, each entry carrying a material identity, spatial support, and physical unit.",0.941,
D0654,supported at high confidence,,0,,"At the same state the closed primitive donor flow is $e_{GA}-e_{AG}=\omega_A(A_{\mathrm{eq,intrinsic}}-A_{\mathrm{act},*})\approx-0.348$: **the donor gains in the closed ledger where the working completion has it losing 4.652** — the two fields have opposite signs on the donor coordinate, not merely different magnitudes.","At the same state the closed primitive donor flow is $e_{GA} - e_{AG} = \omega_A(A^{\mathrm{eq,intrinsic}} - A^{\mathrm{act,*}}) \approx -0.348$: the donor gains in the closed ledger where the working completion has it losing $4.652$ — the two fields have opposite signs on the donor coordinate, not merely different magnitudes.",0.94,
D0522,supported at high confidence,6.5.1,0,,"The index is exactly the record-relative object analysed in §7.3, and its interpretive boundary is that record-relativity (§7.7).","The index is exactly the record-relative object analysed in Section 7.3, and its interpretive boundary is that record-relativity (Section 7.7).",0.937,
D0675,supported at high confidence,10.1,0,,In short: a positive weighted sum never certifies componentwise non-negativity.,A positive weighted sum never certifies componentwise nonnegativity.,0.937,
D0254,supported at high confidence,2.4,0,,A second exact specialization closes a resource–sink system by adding a nutrient stock and a product stock.,A second exact specialization closes a resource–sink system with a nutrient stock and product stock.,0.936,
D0465,signposting: asserts nothing,6,0,,The ledger supplies the net active-pool derivative needed to tell gross throughput apart from net decline and from a model-conditioned threshold time.,The ledger supplies the net active-pool derivative needed to distinguish gross throughput from net decline and from a model-conditioned threshold time.,0.936,
D0532,supported at high confidence,6.5.2,0,,"The archived 43-stock cohort is reproduced by **neither** public RAM Legacy release — S5's version-sensitivity record, cross-referenced here, is the retraction and the row-by-row re-verification — and the v4.66 public-release broad-cohort reading (454 stocks, median 3.39 yr) is the primary public-release comparison, executed in S5 and detailed below.","Two disclosures accompany the headline value: the archived 43-stock cohort is reproduced by neither public RAM Legacy release — S5's version-sensitivity record, cross-referenced here, is the retraction and the row-by-row re-verification — and the v4.66 public-release broad-cohort reading (454 stocks, median $3.39$ yr) is the primary public-release comparison, executed in S5 and detailed below.",0.936,
D0568,supported at high confidence,6.5.4,0,,"**The collective implication for material-flow measurement.** The three published ""depletion time"" numbers — G3P index, phosphate reserve-life, fisheries removals-only time — answer three distinct questions at three distinct evidentiary levels.","The collective implication for material-flows measurement is that the three published ""depletion time"" numbers — G3P index, phosphate reserve-life, fisheries removals-only time — answer three distinct questions at three distinct evidentiary levels.",0.934,
D0236,supported at high confidence,2.2,0,,"When product, waste and the inert sink are restored with the same donor-limited routing, the full ledger $N+A_{\mathrm{act}}+A_{\mathrm{geo}}+U+P+W+I$ is closed (§4.2).","When product, waste, and the inert sink are restored with the same donor-limited routing, the full ledger $N + A^{\mathrm{act}} + A^{\mathrm{geo}} + U + P + W + I$ is closed (Section 4.2).",0.933,
D0572,supported at high confidence,,0,,**Definition 6 (Observed-drift Brownian surrogate).** *Let $A_0$ (local to §7.2–7.4; **not** the half-saturation constant of §2.2) be the latest observed anomaly and $\mu=\hat\mu<0$ the fitted drawdown rate.,**Definition 6 (Observed-drift Brownian surrogate).** *Let $A_0$ (local to Sections 7.2–7.4; not the half-saturation constant of Section 2.2) be the latest observed anomaly and $\mu = \widehat\mu < 0$ the fitted drawdown rate.,0.933,
D0489,supported at high confidence,6.3,0,,The lower-barrier setting of §6.1 is one half of the story.,The lower-barrier setting of Section 6.1 is one half of the story.,0.932,
D0701,supported at high confidence,10.3,0,,The sink obstructions of §2.4 are empty-kernel mechanisms.,The sink obstructions of Section 2.4 are empty-kernel mechanisms.,0.931,
D0111,supported at high confidence,1.1,0,,"The classification refills itself, and any ratio built on it inherits that behaviour.","The classification replenishes itself, and a ratio built on it inherits that behaviour.",0.929,
D0649,supported at high confidence,9,0,,"1. **Different targets.** The primitive ledger uses the intrinsic donor-limited target $A_{\mathrm{eq,intrinsic}}$; the working system uses the derived target $A_{\mathrm{eq},W}=A_{\mathrm{eq,intrinsic}}+\kappa_AK/\omega_A$.","The primitive ledger uses the intrinsic donor-limited target $A^{\mathrm{eq,intrinsic}}$; the working system uses the derived target $A^{\mathrm{eq,W}} = A^{\mathrm{eq,intrinsic}} + \kappa_A K/\omega_A$.",0.929,
