ordinal,section,why_out,carries_a_value_or_citation,text
,,block not read as prose: prose with no sentence of six words or more,,"**Theorem 7 (Natural-block mass identity).** *Let $M=N+A_{\mathrm{act}}+A_{\mathrm{geo}}+U$. Along every trajectory of the closed natural block (2) with optional mining restored,*"
,,block not read as prose: prose with no sentence of six words or more,,"$$\dot M=-qEN-C_{A,\mathrm{lim}},$$"
,,block not read as prose: prose with no sentence of six words or more,,"*Proof.* Sum the four equations of (2), with the mining term subtracted from $\dot A_{\mathrm{geo}}$:"
,,block not read as prose: prose with no sentence of six words or more,,"$$\dot M=(R-qEN)+(-B+e_{GA}-e_{AG}+\gamma_UU)+(-e_{GA}+e_{AG}-C_{A,\mathrm{lim}})+(T-\gamma_UU)=R-B+T-qEN-C_{A,\mathrm{lim}},$$"
,,block not read as prose: prose with no sentence of six words or more,,and $R-B+T=R-(R+T)+T=0$. The mined fraction routes out of the four-coordinate natural block; the full-ledger theorems of §4.2–4.3 record the mining column as an internal transfer between compartments outside the block — 
,,block not read as prose: a heading,,## 4.2 Stoichiometric conservation of the full ledger
,,block not read as prose: prose with no sentence of six words or more,,"**Theorem 8 (Stoichiometric conservation).** *Let $X=(N,P,W,I,U,A_{\mathrm{act}},A_{\mathrm{geo}})$ be the mass compartments of one resource system and $S^{\top}$ the incidence matrix of its flux ledger. One-way transfer"
,,block not read as prose: prose with no sentence of six words or more,,"$$\dot X=S^{\top}F(X),\qquad \frac{d}{dt}\mathbb 1^{\top}X=0.$$"
,,block not read as prose: prose with no sentence of six words or more,,"*Proof.* Every primitive is a transfer between two compartments, or a pair of opposite primitives implementing a two-way exchange; the corresponding column of $S^{\top}$ has entries $+1$ and $-1$ in the receiving and don"
,,block not read as prose: prose with no sentence of six words or more,,$$S^{\top}=\begin{pmatrix} 1&-1&-1&0&0&0&0&0&0&0\\ 0&0&1-\alpha&0&0&0&0&1&-1&0\\ 0&0&0&0&0&0&0&0&1-\rho_P&-1\\ 0&0&0&0&0&0&0&0&0&1\\ 0&0&\alpha&1&-1&0&0&0&\rho_P&0\\ -1&1&0&-1&1&1&-1&0&0&0\\ 0&0&0&0&0&-1&1&-1&0&0 \end{pm
,,block not read as prose: a heading,,## 4.3 Conservation of the six-compartment ledger
,,block not read as prose: prose with no sentence of six words or more,,"*Proof.* With $M_6=\mathbb 1^{\top}z$, $\dot M_6=\mathbb 1^{\top}S(\alpha,\rho)v=0$ because each column of $S$ sums to zero. Term by term: assimilation gives $g-g=0$; mortality gives $-m+m=0$; decomposition gives $-d_U+d"
,,block not read as prose: a heading,,## 4.4 Orthant invariance
,,block not read as prose: prose with no sentence of six words or more,,"*Proof.* The right-hand side is locally Lipschitz on a neighbourhood of the closed orthant: each Michaelis–Menten factor, and $\sigma$, is $C^\infty$ on the non-negative half-line because the registered regime keeps $A_0"
,,block not read as prose: prose with no sentence of six words or more,,"*Proof.* Face by face: at $X=0$, $g=m=h=0$ so $\dot X=0$; at $U=0$, $\dot U=m+\alpha h+\rho_Pr_P\ge0$; at $A=0$, $\dot A=-g+d_U+e_{GA}-e_{AG}=d_U+e_{GA}\ge0$, the two negative terms vanishing by donor limitation ($A$ is "
,,block not read as prose: a heading,,## 4.5 No interior rest at positive effort
,,block not read as prose: prose with no sentence of six words or more,,"*Proof.* At a rest point, $\dot U=0$ forces $\gamma_UU=T$. Adding $\dot A_{\mathrm{act}}+\dot A_{\mathrm{geo}}$ gives $-B+\gamma_UU-C_{A,\mathrm{lim}}=0$; with $\gamma_UU=T$ and $B=R+T$ this is $R+C_{A,\mathrm{lim}}=0$. "
,,block not read as prose: a heading,,## 4.6 The extinction–geochemical rest set
,,block not read as prose: prose with no sentence of six words or more,,"$$\mathsf R_{\mathrm{ext}}=\{N=0,\;U=0,\;A_{\mathrm{act}}=A_{\mathrm{eq,intrinsic}}\sigma(A_{\mathrm{geo}}),\;A_{\mathrm{geo}}\ge0\},$$ $$\mathsf R_K=\{N=K,\;U=\kappa_AKs/\gamma_U,\;A_{\mathrm{act}}=A_{\mathrm{eq,intrins"
,,block not read as prose: prose with no sentence of six words or more,,"*where in the second family $s=A_{\mathrm{act}}/(A_{\mathrm{act}}+A_0)$ is evaluated at the solution — together with the frozen-biomass face $\mathsf R_{\mathrm{frozen}}=\{(N,0,0,0):N\ge0\}$, on which $s=0$ identically a"
,,block not read as prose: prose with no sentence of six words or more,,"*Proof.* With $E\equiv0$, set the four derivatives to zero. From $\dot A_{\mathrm{geo}}=-e_{GA}+e_{AG}=0$: $\omega_AA_{\mathrm{eq,intrinsic}}\sigma=\omega_AA_{\mathrm{act}}$, so $A_{\mathrm{act}}=A_{\mathrm{eq,intrinsic}"
,,block not read as prose: a heading,,## 4.7 Extraction integrability
,,block not read as prose: prose with no sentence of six words or more,,**Theorem 14 (Integrable extraction).** *Assume $E(s)\ge0$ along the trajectory (effort is non-negative; $N\ge0$ along classical solutions is Theorem 10's). Let $M=N+A_{\mathrm{act}}+A_{\mathrm{geo}}+U$. Then*
,,block not read as prose: prose with no sentence of six words or more,,"$$M(t)=M(0)-\int_0^t qE(s)N(s)\,ds\ \ge\ 0,\qquad\text{so}\qquad \int_0^\infty qE(s)N(s)\,ds\ \le\ M(0)<\infty,$$"
,,block not read as prose: prose with no sentence of six words or more,,"*in particular $qEN\in L^1(0,\infty)$, and **no trajectory maintains extraction at the working value $qE^*N^*\approx0.187$ for all time**; with mining restored, $\int_0^\infty(qE(s)N(s)+C_{A,\mathrm{lim}}(s))\,ds\le M(0)"
,,block not read as prose: prose with no sentence of six words or more,,"*Proof.* By Theorem 7, $M(t)=M(0)-\int_0^tqE(s)N(s)ds$; forward invariance (Theorem 10) gives $M(t)\ge0$, so the improper integral is at most $M(0)$. If $qEN\equiv qE^*N^*$ for all $t\ge0$, the integral would diverge. $\"
,,block not read as prose: a heading,,## 4.8 The conditional hybrid moiety balance
,,block not read as prose: prose with no sentence of six words or more,,"$$L^{\top}\chi(t)-L^{\top}\chi(0)=\int_0^tL^{\top}b\,ds+\sum_{t_k\le t}L^{\top}\big[\chi(t_k^+)-\chi(t_k^-)\big].$$"
,,block not read as prose: prose with no sentence of six words or more,,*Proof.* Integrate the continuous balance between consecutive events and telescope the left/right state differences. $\blacksquare$
,,block not read as prose: a heading,,## 4.9 Cancellation is cheap
,,block not read as prose: prose with no sentence of six words or more,,$$\frac{d}{dt}\big(\bar X_A+X_J+P+U+A+G\big)=0 .$$
,,block not read as prose: prose with no sentence of six words or more,,---
,,block not read as prose: a heading,,"# 5. Services and the componentwise deficit — what is delivered, and what is missing"
,,block not read as prose: the reading note at the head of the file,,"> **In plain words.** A service is not a substance. Drinking water, crop yield, fish landed: these are readings taken off the physical state, not extra mass in the boxes. This section says what a reading has to declare b"
,,block not read as prose: a heading,,## 5.1 The service readout and the contemporaneous balance
,,block not read as prose: prose with no sentence of six words or more,,"For services indexed by $i=1,\dots,n$, write $s_i(t)=O_i(x(t),u(t),\theta)$, where $u$ denotes admissible operating or extraction choices and $s_i$ and the demand $d_i$ share service-specific units. Where delivered servi"
,,block not read as prose: prose with no sentence of six words or more,,"$$s=O(x,u,\theta)=Q(\theta)v(x,u),$$"
,,block not read as prose: prose with no sentence of six words or more,,with every row of $Q$ declaring the delivery boundary and the conversion into one service-specific unit. More general state-dependent readouts are possible. The contemporaneous component balance is
,,block not read as prose: prose with no sentence of six words or more,,"$$b_i(t)=s_i(t)-d_i(t),$$"
,,block not read as prose: prose with no sentence of six words or more,,and $b_i(t)\ge0$ means measured supply meets measured demand for component $i$ at that instant. It does not by itself imply that the underlying trajectory is sustainable. A stock can meet current demand while declining t
,,block not read as prose: a heading,,## 5.2 The state-dependent feasible balance domain
,,block not read as prose: prose with no sentence of six words or more,,"$$\mathcal B(x,t)=\{O(x,u,\theta)-d: u\in\mathcal U(x,t),\ d\in\mathcal D(t)\}.$$"
,,block not read as prose: a heading,,## 5.3 Support provenance and the directional support gap
,,block not read as prose: prose with no sentence of six words or more,,"$$\alpha_{\mathrm{reg}}(\bar s;x,t)=\sup\{\alpha\in[0,1]:\alpha\bar s\in\Gamma_{\mathrm{reg}}(x,t)\}.$$"
,,block not read as prose: prose with no sentence of six words or more,,"*The vector $(1-\alpha_{\mathrm{reg}})\bar s$ is the directional support gap, measured in the same service units as $\bar s$. A realized service $s\in\Gamma_{\mathrm{all}}\setminus\Gamma_{\mathrm{reg}}$ is **support-depe"
,,block not read as prose: prose with no sentence of six words or more,,"Attainment requires closedness: if $\Gamma_{\mathrm{reg}}$ is not closed the supremum may not be attained, and the gap is relative to a supremal fraction, not necessarily to an achievable boundary service. The **non-inte"
,,block not read as prose: a heading,,## 5.4 The componentwise deficit and the specialization identity
,,block not read as prose: prose with no sentence of six words or more,,"$$\Delta_{\mathrm{phys}}(t)=C(t)-\hat M^{\top}S(t),$$"
,,block not read as prose: prose with no sentence of six words or more,,"with $C$ the operative extraction-law readout and $\hat M$ the declared demand-coverage matrix mapping the moiety readout $S=Cx$ — the composition matrix $C$ of Lemma 3, **a different object from the coverage vector $C(t"
,,block not read as prose: prose with no sentence of six words or more,,"$$qEN-R(N,A)=-\dot N,\qquad \Lambda(t):=[qEN-R]_+=[-\dot N]_+ .$$"
,,block not read as prose: prose with no sentence of six words or more,,*Proof.* Substitute the stock equation: $qEN-R=-(R-qEN)=-\dot N$. $\blacksquare$
,,block not read as prose: prose with no sentence of six words or more,,"$$\Lambda(t)=\max\{0,\;qE(t)N(t)-R(N(t),A_{\mathrm{act}}(t))\}=\max\{0,-\dot N(t)\}:$$"
,,block not read as prose: prose with no sentence of six words or more,,"Since $qEN-R(N,A_{\mathrm{act}})=O(N)$ as $N\to0$, the raw decline input vanishes near extinction while the positive baseline source of the effort law can still sustain commanded effort. The incremental decline amplifica"
,,block not read as prose: the reading note at the head of the file,,> **In plain words.** People ask one question — how long do we have? — and three different numbers answer it. (1) How hard the system is turning over right now. (2) How long the current decline would take if the rate wer
,,block not read as prose: a heading,,## 6.1 The three quantities
,,block not read as prose: prose with no sentence of six words or more,,"The implication $g>0\Rightarrow\dot A<0$ is false in general. At an interior steady state, $g$ can be positive while decomposition and geological transfer balance it exactly, so that $\dot A=0$. Gross uptake measures thr"
,,block not read as prose: prose with no sentence of six words or more,,"$$\mathcal H^{\mathrm{loc}}_A(t)=\frac{A(t)-A_{\min}}{[-\dot A(t)]_+},\qquad\text{with the extended-real convention }\ \mathcal H^{\mathrm{loc}}_A=+\infty\ \text{when }\ \dot A\ge0.$$"
,,block not read as prose: prose with no sentence of six words or more,,"$$T_A(x_0;\pi,d)=\inf\{t\ge0: A^{\pi,d}_t(x_0)\le A_{\min}\},\qquad T_A=+\infty\ \text{if the threshold is never reached}.$$"
,,"block not read as prose: a table, display or code block",,"| Quantity | Question it answers | |---|---| | $J^{\mathrm{gross}}_A,\ \mathcal H^{\mathrm{gross}}_A$ | How strongly does the system depend on, or turn over, the pool at the current gross rate? | | $\mathcal H^{\mathrm{l"
,,block not read as prose: a heading,,## 6.2 Uniform-drift bounds
