id,ratio,kind,draft_span,deposit_span
D0402,0.581,deco,\mathsf R_0=\mathsf R_{\mathrm{ext}}\cup\mathsf R_K,\mathcal{R}_0 = \mathcal{R}_{\mathrm{ext}} \cup \mathcal{R}_K
D0389,0.563,deco,\ell=\mathbb 1,\ell = \mathbf{1}
D0668,0.547,deco,\mathcal B^*\approx4.652,B^* \approx 4.652
D0668,0.547,deco,G_0/\mathcal B^*\approx8.6\times10^{4},G_0/B^* \approx 8.6 \times 10^4
D0652,0.546,script,"\omega_A(A_{\mathrm{eq},W}-A_{\mathrm{act},*})=4.652","\omega_A(A^{\mathrm{eq,W}} - A^{\mathrm{act,*}}) = 4.652"
D0486,0.523,absent,"\mathcal H^{\mathrm{loc}}_A=(A(0)-A_{\min})/[-\dot A]_+\in[H_0/(1+\varepsilon),H_0/(1-\varepsilon)]","H_A^{\mathrm{loc}} = (A(0) - A_{\min})/[-\dot A]_+ \in [H_0/(1+\varepsilon), H_0/(1-\varepsilon)]"
D0462,0.512,script,"qEN-R(N,A_{\mathrm{act}})=O(N)","qEN - R(N, A^{\mathrm{act}}) = O(N)"
D0574,0.502,absent,\mathcal A^{\mathrm{win}}_{\min},A_{\min}
D0585,0.482,deco,m<\nu=\mathcal H^{\mathrm{win}}_{\mathrm{GW}},"m < \nu = H^{\mathrm{win}}_{\mathrm{GW}}, \qquad F_T(\nu) = \frac{1}{2} + e^{2\lambda/\nu}\,\Phi\!\left( -2\sqrt{\lambda/\nu} \right) > \frac{1}{2}."
D0494,0.466,absent,S_m=\underline B_m^{\mathrm{func}},\underline{B}_m
D0380,0.442,absent,\mathbb 1^{\top}S^{\top}=0,\mathbf{1}^\top S_{\mathcal{T}} = 0
D0655,0.441,script,"A_{\mathrm{act},*}=397.87","A^{\mathrm{act,*}} = 397.87"
D0240,0.431,script,A_{\mathrm{act}}\to U,A^{\mathrm{act}} \to U
D0669,0.416,absent,"G_0/A_{\mathrm{act},*}=10^3",G_0/A^{\mathrm{act}*} = 10^3
D0340,0.405,script,"A^+=\max\{A,0\}","\mathsf{A}^{+} = \max\{\mathsf{A}, 0\}"
D0340,0.405,script,"A^-=\max\{-A,0\}","\mathsf{A}^{-} = \max\{-\mathsf{A}, 0\}"
D0256,0.403,deco,I_{\mathsf N},I_N
D0256,0.403,deco,Q_{\mathsf P},"\dot S = g(S,N) - H, \qquad \dot K = \theta_K H - \theta_\delta K, \qquad \dot N = -g(S,N) + \theta_\delta K + I_N, \qquad \dot P = (1 - \theta_K)H - Q_P,"
D0255,0.382,deco,"(\mathsf{S},\mathsf{K},\mathsf{N},\mathsf{P})\in\mathbb{R}^4_+","(S, K, N, P) \in \mathbb{R}^4_+"
D0381,0.364,script,"(N,U,A_{\mathrm{act}},A_{\mathrm{geo}})","(N, U, A^{\mathrm{act}}, A^{\mathrm{geo}})"
D0597,0.34,deco,\mathbb E[\mathcal T_{\mathrm{fish}}]=\log(\mathcal B_0/\mathcal B_{\min})/(h+\varsigma^2/2),\mathbb{E}[T_{\mathrm{fish}}] = \log(B_0/B_{\min})/(h + \varsigma^2/2)
D0597,0.34,absent,\mathcal B_{\min}=\mathcal B_{\mathrm{lim}},B_{\min} = B_{\lim}
D0594,0.298,absent,\mathcal A^{\sharp}<\mathcal A^{\mathrm{win}}_{\min},A^\sharp < A_{\min}^{\mathrm{win}}
D0594,0.298,deco,\mathbb E[T^{\sharp}]=(A_0-\mathcal A^{\sharp})/|\mu|,\mathbb{E}[T^\sharp] = (A_0 - A^\sharp)/|\mu|
D0195,0.291,absent,S^{\top},c_m^\top
D0195,0.291,absent,B u_\partial,B_{\mathcal{T}} u_{\partial}
D0653,0.207,deco,\mathcal B^*-R^*=\mathcal T^*,B^* - R^* = T^*
D0653,0.207,script,"\omega_A(A_{\mathrm{eq},W}-A_{\mathrm{act},*})=4.652133\ldots","\omega_A(A^{\mathrm{eq,W}} - A^{\mathrm{act,*}}) = 4.652133\ldots"
