map_id,source_id,source_label,theorem_family,retention_tier,paper_destination,selection_reason,formal_source_words,proof_location_status,verification_dependencies
TM-A001-080,A001,Theorem 13.4 (Invariance under irrelevant structure).,F11 commons and institutional implementation,delegated,Paper 1/monograph,commons games and institutional applications,65,located,V-A001-13;V-A001-14
TM-A001-081,A001,"Corollary 13.1 (Management vocabularies are rewrites, not theorems).",F11 commons and institutional implementation,delegated,Paper 1/monograph,commons games and institutional applications,349,located,V-A001-13;V-A001-14
TM-A001-082,A001,Definition 14.1.,F12 intergenerational and stochastic results,delegated,Paper 1/monograph,intergenerational interpretation or stochastic docket,36,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-083,A001,Theorem 14.1.,F12 intergenerational and stochastic results,delegated,Paper 1/monograph,intergenerational interpretation or stochastic docket,23,immediate_from_definition,V-A001-13;V-A001-14
TM-A001-084,A001,Theorem 14.2.,F12 intergenerational and stochastic results,bounded_appendix,Paper 2 or Paper 1,selected compactness/small-noise obstruction,140,located,V-A001-13;V-A001-14
TM-A001-085,A001,Theorem 14.3 (Discounting can prefer an exiting pulse over a positive viable path).,F12 intergenerational and stochastic results,delegated,Paper 1/monograph,intergenerational interpretation or stochastic docket,198,located,V-A001-05;V-A001-13;V-A001-14
TM-A001-086,A001,Definition 15.1.,F07 diagnostics and delay certificates,delegated,Paper 4/monograph,model-specific delay or quantitative margin result,90,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-087,A001,Definition 15.2.,F07 diagnostics and delay certificates,delegated,Paper 4/monograph,model-specific delay or quantitative margin result,83,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-088,A001,Theorem 16.1 (Compositional viability).,"F10 coupling, networks, and restricted composition",main,Paper 2,restricted composition theorem target,183,located,V-A001-13;V-A001-14
TM-A001-089,A001,Definition 17.1: $p$-viability kernel.,F12 intergenerational and stochastic results,delegated,Paper 1/monograph,intergenerational interpretation or stochastic docket,34,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-090,A001,Definition 17.2: Expected-lifetime value.,F12 intergenerational and stochastic results,delegated,Paper 1/monograph,intergenerational interpretation or stochastic docket,28,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-091,A001,Theorem 17.1 (Finite-horizon small-noise viability).,F12 intergenerational and stochastic results,bounded_appendix,Paper 2 or Paper 1,selected compactness/small-noise obstruction,260,located,V-A001-13;V-A001-14
TM-A001-092,A001,Conjecture 17.1 (Competitive OLG).,F14 conditional research docket,docket,monograph/conditional docket,"conjecture, hypothesis, programme, or open problem",382,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-093,A001,Conjecture 17.2 (Stochastic survival: finite horizon only).,F14 conditional research docket,docket,monograph/conditional docket,"conjecture, hypothesis, programme, or open problem",118,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-094,A001,Conjecture 17.3 (Adaptive management beyond high gain).,F14 conditional research docket,docket,monograph/conditional docket,"conjecture, hypothesis, programme, or open problem",148,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-095,A001,Open Problem 18.1.,F14 conditional research docket,docket,monograph/conditional docket,"conjecture, hypothesis, programme, or open problem",24,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-096,A001,Open Problem 18.2.,F14 conditional research docket,docket,monograph/conditional docket,"conjecture, hypothesis, programme, or open problem",20,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-097,A001,Conjecture 18.1 ($n$-patch super-equilibrium equivalence).,F14 conditional research docket,docket,monograph/conditional docket,"conjecture, hypothesis, programme, or open problem",146,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-098,A001,Conjecture 18.2 (Multi-resource Hartwick).,F14 conditional research docket,docket,monograph/conditional docket,"conjecture, hypothesis, programme, or open problem",45,not_required_definition_or_example,V-A001-13;V-A001-14
TM-A001-099,A001,Conjecture 18.3 (Ostrom individual necessity).,F14 conditional research docket,docket,monograph/conditional docket,"conjecture, hypothesis, programme, or open problem",623,not_required_definition_or_example,V-A001-11;V-A001-13;V-A001-14
TM-A002-001,A002,Definition,F00 canonical definitions and types,main,Paper 2,canonical A002 restricted theorem/definition family,62,not_required_definition_or_programme,V-A002-01;V-A002-03;V-A002-18
TM-A002-002,A002,Definition,F00 canonical definitions and types,main,Paper 2,canonical A002 restricted theorem/definition family,107,not_required_definition_or_programme,V-A002-01;V-A002-03;V-A002-18
TM-A002-003,A002,Definition,F00 canonical definitions and types,main,Paper 2,canonical A002 restricted theorem/definition family,142,not_required_definition_or_programme,V-A002-01;V-A002-03;V-A002-18
TM-A002-004,A002,Definition,F00 canonical definitions and types,main,Paper 2,canonical A002 restricted theorem/definition family,70,not_required_definition_or_programme,V-A002-01;V-A002-03;V-A002-18
TM-A002-005,A002,Definition,F00 canonical definitions and types,main,Paper 2,canonical A002 restricted theorem/definition family,115,not_required_definition_or_programme,V-A002-01;V-A002-03;V-A002-18
TM-A002-006,A002,Definition,F00 canonical definitions and types,main,Paper 2,canonical A002 restricted theorem/definition family,120,not_required_definition_or_programme,V-A002-01;V-A002-03;V-A002-18
TM-A002-007,A002,Proposition,F00 canonical definitions and types,main,Paper 2,canonical A002 restricted theorem/definition family,258,located,V-A002-01;V-A002-03;V-A002-18
TM-A002-008,A002,Theorem,"F01 typed conservation, positivity, boundedness",main,Paper 2,canonical A002 restricted theorem/definition family,307,located,V-A002-01;V-A002-03;V-A002-18;V-A002-02;V-A002-04
TM-A002-009,A002,Remark,"F01 typed conservation, positivity, boundedness",bounded_appendix,Paper 2 appendix or omit if redundant,nonformal explanatory remark,0,nonformal_remark,V-A002-01;V-A002-03;V-A002-18;V-A002-02;V-A002-04
TM-A002-010,A002,Corollary,"F01 typed conservation, positivity, boundedness",main,Paper 2,canonical A002 restricted theorem/definition family,146,located,V-A002-01;V-A002-03;V-A002-18;V-A002-02;V-A002-04
TM-A002-011,A002,Theorem,"F01 typed conservation, positivity, boundedness",main,Paper 2,canonical A002 restricted theorem/definition family,443,located,V-A002-01;V-A002-03;V-A002-18;V-A002-02;V-A002-04
TM-A002-012,A002,Corollary,"F01 typed conservation, positivity, boundedness",main,Paper 2,canonical A002 restricted theorem/definition family,154,located,V-A002-01;V-A002-03;V-A002-18;V-A002-02;V-A002-04
TM-A002-013,A002,Conditional theorem,"F01 typed conservation, positivity, boundedness",main,Paper 2,canonical A002 restricted theorem/definition family,325,located,V-A002-01;V-A002-03;V-A002-18;V-A002-02;V-A002-04
TM-A002-014,A002,Definition,F02 noncompensation and substitution feasibility,main,Paper 2,canonical A002 restricted theorem/definition family,131,not_required_definition_or_programme,V-A002-01;V-A002-03;V-A002-18;V-A002-05
TM-A002-015,A002,Theorem,F02 noncompensation and substitution feasibility,main,Paper 2,canonical A002 restricted theorem/definition family,387,located,V-A002-01;V-A002-03;V-A002-18;V-A002-05
TM-A002-016,A002,Remark,F02 noncompensation and substitution feasibility,bounded_appendix,Paper 2 appendix or omit if redundant,nonformal explanatory remark,0,nonformal_remark,V-A002-01;V-A002-03;V-A002-18;V-A002-05
TM-A002-017,A002,Definition,F03 observation and epistemic viability,main,Paper 2,canonical A002 restricted theorem/definition family,63,not_required_definition_or_programme,V-A002-01;V-A002-03;V-A002-18;V-A002-06;V-A002-07;V-A002-08;V-A002-11;V-A002-12
TM-A002-018,A002,Theorem,F03 observation and epistemic viability,main,Paper 2,canonical A002 restricted theorem/definition family,275,located,V-A002-01;V-A002-03;V-A002-18;V-A002-06;V-A002-07;V-A002-08;V-A002-11;V-A002-12
TM-A002-019,A002,Corollary,F03 observation and epistemic viability,main,Paper 2,canonical A002 restricted theorem/definition family,203,located,V-A002-01;V-A002-03;V-A002-18;V-A002-06;V-A002-07;V-A002-08;V-A002-11;V-A002-12
TM-A002-020,A002,Definition,"F05 sampled, hybrid, and information kernels",main,Paper 2,canonical A002 restricted theorem/definition family,125,not_required_definition_or_programme,V-A002-01;V-A002-03;V-A002-18;V-A002-09;V-A002-10;V-A002-11;V-A002-12;V-A002-13
TM-A002-021,A002,Definition,F04 recovery and irreversibility,main,Paper 2,canonical A002 restricted theorem/definition family,143,not_required_definition_or_programme,V-A002-01;V-A002-03;V-A002-18
TM-A002-022,A002,Theorem,"F05 sampled, hybrid, and information kernels",main,Paper 2,canonical A002 restricted theorem/definition family,601,located,V-A002-01;V-A002-03;V-A002-18;V-A002-09;V-A002-10;V-A002-11;V-A002-12;V-A002-13
TM-A002-023,A002,Corollary,"F05 sampled, hybrid, and information kernels",main,Paper 2,canonical A002 restricted theorem/definition family,143,located,V-A002-01;V-A002-03;V-A002-18;V-A002-09;V-A002-10;V-A002-11;V-A002-12;V-A002-13
TM-A002-024,A002,Theorem,"F05 sampled, hybrid, and information kernels",main,Paper 2,canonical A002 restricted theorem/definition family,1096,located,V-A002-01;V-A002-03;V-A002-18;V-A002-09;V-A002-10;V-A002-11;V-A002-12;V-A002-13
TM-A002-025,A002,Definition,"F05 sampled, hybrid, and information kernels",main,Paper 2,canonical A002 restricted theorem/definition family,170,not_required_definition_or_programme,V-A002-01;V-A002-03;V-A002-18;V-A002-09;V-A002-10;V-A002-11;V-A002-12;V-A002-13
TM-A002-026,A002,Theorem,"F05 sampled, hybrid, and information kernels",main,Paper 2,canonical A002 restricted theorem/definition family,680,located,V-A002-01;V-A002-03;V-A002-18;V-A002-09;V-A002-10;V-A002-11;V-A002-12;V-A002-13
TM-A002-027,A002,Theorem,"F05 sampled, hybrid, and information kernels",main,Paper 2,canonical A002 restricted theorem/definition family,1179,located,V-A002-01;V-A002-03;V-A002-18;V-A002-09;V-A002-10;V-A002-11;V-A002-12;V-A002-13
TM-A002-028,A002,Theorem,"F05 sampled, hybrid, and information kernels",main,Paper 2,canonical A002 restricted theorem/definition family,1077,located,V-A002-01;V-A002-03;V-A002-18;V-A002-09;V-A002-10;V-A002-11;V-A002-12;V-A002-13
TM-A002-029,A002,Conditional theorem,"F05 sampled, hybrid, and information kernels",main,Paper 2,canonical A002 restricted theorem/definition family,890,located,V-A002-01;V-A002-03;V-A002-18;V-A002-09;V-A002-10;V-A002-11;V-A002-12;V-A002-13
TM-A002-030,A002,Proposition,"F05 sampled, hybrid, and information kernels",main,Paper 2,canonical A002 restricted theorem/definition family,231,located,V-A002-01;V-A002-03;V-A002-18;V-A002-09;V-A002-10;V-A002-11;V-A002-12;V-A002-13
TM-A002-031,A002,Conditional theorem,"F05 sampled, hybrid, and information kernels",main,Paper 2,canonical A002 restricted theorem/definition family,826,located,V-A002-01;V-A002-03;V-A002-18;V-A002-09;V-A002-10;V-A002-11;V-A002-12;V-A002-13
TM-A002-032,A002,Remark,"F05 sampled, hybrid, and information kernels",bounded_appendix,Paper 2 appendix or omit if redundant,nonformal explanatory remark,0,nonformal_remark,V-A002-01;V-A002-03;V-A002-18;V-A002-09;V-A002-10;V-A002-11;V-A002-12;V-A002-13
TM-A002-033,A002,Definition,"F05 sampled, hybrid, and information kernels",main,Paper 2,canonical A002 restricted theorem/definition family,248,not_required_definition_or_programme,V-A002-01;V-A002-03;V-A002-18;V-A002-09;V-A002-10;V-A002-11;V-A002-12;V-A002-13
TM-A002-034,A002,Theorem,"F05 sampled, hybrid, and information kernels",main,Paper 2,canonical A002 restricted theorem/definition family,573,located,V-A002-01;V-A002-03;V-A002-18;V-A002-09;V-A002-10;V-A002-11;V-A002-12;V-A002-13
TM-A002-035,A002,Conditional theorem,"F05 sampled, hybrid, and information kernels",main,Paper 2,canonical A002 restricted theorem/definition family,505,located,V-A002-01;V-A002-03;V-A002-18;V-A002-09;V-A002-10;V-A002-11;V-A002-12;V-A002-13
TM-A002-036,A002,Definition,F06 projectability and reduction,main,Paper 2,canonical A002 restricted theorem/definition family,56,not_required_definition_or_programme,V-A002-01;V-A002-03;V-A002-18;V-A002-14;V-A002-15;V-A002-16
TM-A002-037,A002,Theorem,F06 projectability and reduction,main,Paper 2,canonical A002 restricted theorem/definition family,259,located,V-A002-01;V-A002-03;V-A002-18;V-A002-14;V-A002-15;V-A002-16
TM-A002-038,A002,Corollary,F06 projectability and reduction,main,Paper 2,canonical A002 restricted theorem/definition family,111,located,V-A002-01;V-A002-03;V-A002-18;V-A002-14;V-A002-15;V-A002-16
TM-A002-039,A002,Theorem,F06 projectability and reduction,main,Paper 2,canonical A002 restricted theorem/definition family,424,located,V-A002-01;V-A002-03;V-A002-18;V-A002-14;V-A002-15;V-A002-16
TM-A002-040,A002,Theorem,F06 projectability and reduction,main,Paper 2,canonical A002 restricted theorem/definition family,402,located,V-A002-01;V-A002-03;V-A002-18;V-A002-14;V-A002-15;V-A002-16
