id,verdict,confidence,draft_section,draft_sentence,dep_section,deposit_proposition,paired_via,overlap,char_ratio,block_overlap,flags,notes,adjudication
D0024,not a claim (signposting),medium,,"Finally, an interface contract fixes the one object this article shares with work on delayed, reviewed institutions, so the two bodies of work cannot be confused.",,"The result is a grammar for material depletion claims: each claim carries the predicate it actually establishes and no claim is carried beyond it, with an interface contract fixing the shared object with delay-based institutional dynamics.",aligned passage,0.209,0.275,0.632,,"the sentence reports what the document does, not what the world does",
D0025,supported (reworded),low,,Every depletion claim here is stated with the exact thing it establishes.,,"The result is a grammar for material depletion claims: each claim carries the predicate it actually establishes and no claim is carried beyond it, with an interface contract fixing the shared object with delay-based institutional dynamics.",aligned passage,0.153,0.176,0.632,,,
D0026,supported (reworded),medium,,"**Author's abstract, kept as written.** Depletion numbers circulate under one label while answering different questions.",6.1,The three quantities answer different questions and must not share one depletion-horizon label:,elsewhere in the deposit,0.324,0.361,0.789,,,
D0027,supported (reworded),medium,,"Reserve-life ratios, trend-persistence indices, and removals-only pressure scales are read as ""time to depletion"" despite measuring different things; compensatory aggregation hides a deficit behind a positive scalar.",,"Three public-data applications are classified: G3P anomaly index is a statistical index, not a stock ratio; phosphate reserve-life ratio is arithmetic, not a forecast; fisheries removals-only time is a pressure scale, not a depletion diagnostic.",aligned passage,0.189,0.208,0.789,,,
D0028,excluded: shared verbatim,n/a,,"We separate them with a typed stock–flow accounting layer — a per-moiety ledger that keeps conservation laws typed, so biomass, money, and biodiversity are not summed into one scalar.",,,identical text,1.0,1.0,,,,
D0029,excluded: shared verbatim,n/a,,"Conservation follows from the incidence structure of the compartment–flux network; positivity from donor limitation (each primitive outflow vanishes when its donor is empty); services are readouts, not conserved mass.",,,identical text,1.0,1.0,,,,
D0030,excluded: shared verbatim,n/a,,"Three certification layers carry a flux-reconstruction identity (an algebraic relation reconstructing unobserved internal fluxes from observed stock changes), a conservation-law reduction, and a flux-bounding envelope theorem.",,,identical text,1.0,1.0,,,,
D0031,excluded: shared verbatim,n/a,,"The closed finite-donor ledger satisfies the natural-block mass identity, orthant invariance (state stays nonnegative), no interior rest at positive effort, the vanishing-extraction rest set, and extraction integrability.",,,identical text,1.0,1.0,,,,
D0032,excluded: shared verbatim,n/a,,"Depletion time separates into three non-interchangeable quantities — gross turnover intensity, a frozen-rate ratio, and a scenario-conditioned hitting time — with uniform-drift bounds.",,,identical text,1.0,1.0,,,,
D0033,excluded: shared verbatim,n/a,,"Three public-data applications are classified: G3P anomaly index is a statistical index, not a stock ratio; phosphate reserve-life ratio is arithmetic, not a forecast; fisheries removals-only time is a pressure scale, not a depletion diagnostic.",,,identical text,1.0,1.0,,,,
D0034,excluded: shared verbatim,n/a,,"No nonnegative weighting certifies componentwise nonnegativity, and five double-counting rules block phantom mass.",,,identical text,1.0,1.0,,,,
D0035,excluded: shared verbatim,n/a,,First-passage semantics on declared stochastic surrogates — stochastic passage times against a relative barrier — carry explicit non-claims.,,,identical text,1.0,1.0,,,,
D0036,excluded: shared verbatim,n/a,,"Weak and strong sustainability are two regimes of one system, distinguished by whether the material cycle closes at the rate of use.",,,identical text,1.0,1.0,,,,
D0037,supported (near-verbatim),high,,"Each depletion claim carries the predicate it actually establishes, with an interface contract fixing the shared object with delay-based institutional dynamics.",,"The result is a grammar for material depletion claims: each claim carries the predicate it actually establishes and no claim is carried beyond it, with an interface contract fixing the shared object with delay-based institutional dynamics.",aligned passage,0.789,0.781,0.789,,"polarity phrased differently (passage no negator, draft ['not'])",
D0038,excluded: shared verbatim,n/a,1.1,Sustainability accounting fails in two characteristic ways.,,,identical text,1.0,1.0,,,,
D0039,supported (reworded),medium,1.1,"The first is what we call **compensatory aggregation**: *adding different things together into one score, so that gains and losses can cancel.* Here ""compensatory"" means exactly that — a shortfall in one place is paid for by a surplus in another.",1.1,"The first is arithmetic and is the compensatory-aggregation failure above — a deficit in one component offset by a surplus in another, so that a positive aggregate reads as adequate.",elsewhere in the deposit,0.295,0.409,0.0,,,
D0040,supported (reworded),medium,1.1,"A single number is built from many unlike parts, and the trade between them is never written down as an equation.",,No single number is promoted across the four classes without a declared map.,elsewhere in the deposit,0.26,0.387,0.0,,,
D0041,supported (reworded),medium,1.1,So one component can be in serious deficit while the overall score looks fine.,10.1,"The most severe deficit an aggregate of that value can conceal in component is a linear programme, finite whenever the bounds are, and positive whenever any admissible has .",elsewhere in the deposit,0.237,0.356,0.0,,,
D0042,supported (near-verbatim),high,1.1,"The literatures on composite indicators and on weak versus strong sustainability document both the failure and the non-compensatory fixes that have been proposed (Munda and Nardo, 2009; Ekins et al., 2003; Neumayer, 2013).",1.1,"The composite-indicator and weak-versus-strong-sustainability literatures document the failure and its noncompensatory remedies (Munda and Nardo, 2009; Ekins et al., 2003; Neumayer, 2013).",elsewhere in the deposit,0.659,0.806,0.0,,,
D0043,needs check: attribution,high,1.1,"The second failure is **classification drift**: *a number that is described one way gets read as something else.* Several quantities have ""years"" in their units — reserve-life ratios, trend-persistence indices, removals-only pressure scales — and circulate as if they were one thing: ""time to depletion"".",1.1,"The second is *classification drift*: quantities with the units of time — reserve-life ratios, trend-persistence indices, removals-only pressure scales — circulate as if they were one thing, ""time to depletion,"" when they answer different questions under different assumptions.",elsewhere in the deposit,0.545,0.062,0.0,"needs check: attribution: the sentence this one restates cites Munda & Nardo, 2009; the draft dropped the source",,
D0044,supported (reworded),medium,1.1,They answer different questions from different assumptions.,6.1,The three quantities answer different questions and must not share one depletion-horizon label:,elsewhere in the deposit,0.421,0.543,0.0,,"polarity phrased differently (passage ['not'], draft no negator)",
D0045,supported (reworded),medium,1.1,The drift is easy to see in the numbers themselves.,1.1,The result is a number in units of years that is not a time to any physical event.,elsewhere in the deposit,0.264,0.412,0.0,,,
D0046,supported (near-verbatim),high,1.1,- A **reserve-life ratio** divides a reserve figure by a production figure.,1.1,A reserve-life ratio divides a reserve figure by a production figure and calls the quotient a horizon.,elsewhere in the deposit,0.739,0.798,0.0,,,
D0047,supported (reworded),medium,1.1,"It then calls the answer a horizon: the number of years left at this rate, for as long as the rate and the reserve definition hold. - A **groundwater anomaly index** fits a trend line to a satellite product, then reports the fitted distance from the fitted curve to the series' own historical minimum, divided by the fitted rate. - A **fisheries pressure indicator** divides a log biomass margin by a fishing mortality, and presents the result as a timescale.",1.1,A groundwater anomaly index fits a trend to a satellite product and reports the fitted distance to the series' own minimum divided by the fitted rate.,elsewhere in the deposit,0.446,0.497,0.0,,"polarity phrased differently (passage ['not'], draft no negator)",
D0048,supported (reworded),medium,1.1,This first failure has a well-known public object. **Earth Overshoot Day** collapses every component into one calendar date.,1.1,The first failure mode has a public flagship object.,aligned passage,0.342,0.429,0.833,,"attribution moved: Meadows, 1972 are cited elsewhere in the deposit ; polarity phrased differently (passage no negator, draft ['never'])",
D0049,supported (near-verbatim),high,1.1,"A severe deficit in one component can therefore coexist with a date that still falls late in the year (Lin et al., 2018; Wackernagel and Beyers, 2019; Blomqvist et al., 2013).",1.1,"Earth Overshoot Day aggregates component flows into a single calendar date, so a severe deficit in one component can coexist with a date that still falls late in the year (Lin et al., 2018; Wackernagel and Beyers, 2019; Blomqvist et al., 2013).",aligned passage,0.662,0.668,0.833,,"polarity phrased differently (passage no negator, draft ['never'])",
D0050,supported (near-verbatim),high,1.1,"The systems-dynamics overshoot models raise the same aggregation question in a moving form (Meadows et al., 1972).",1.1,"The systems-dynamics overshoot models raise the same aggregation question in dynamic form (Meadows et al., 1972).",aligned passage,0.902,0.958,0.833,,,
D0051,not a claim (signposting),medium,1.1,What this article builds in their place is resolved by component from the start.,1.1,This article formalises this sense as the aggregation obstruction of Section 10.1.,aligned passage,0.273,0.428,0.833,,"the sentence reports what the document does, not what the world does",
D0052,supported (reworded),high,1.1,"The per-asset, per-pool depletion horizons of Section 6.5.2 are each reported next to the pool they draw on, and are never added into a single date.",1.1,"The replacements built in this article are component-resolved by construction: the per-asset, per-pool depletion horizons of Section 6.5.2 are each reported beside the pool it draws on and never summed into a scalar date.",aligned passage,0.52,0.48,0.833,,"attribution moved: Lin, 2018 are cited elsewhere in the deposit",
D0053,supported (near-verbatim),high,1.1,"A third failure mode is what we call the **productivity illusion**: the appearance that a system is producing enough, while the base that lets it produce is being reduced.",1.1,A further failure mode is what we call the *productivity illusion*: the appearance that a system is delivering adequately while the base that sustains the delivery is being reduced.,elsewhere in the deposit,0.697,0.839,0.0,,,
D0054,supported (reworded),medium,1.1,"The word ""illusion"" is doing real work here.",1.2,None of these sources is used as a premise here.,elsewhere in the deposit,0.295,0.455,0.0,,,
D0055,supported (reworded),medium,1.1,"The bookkeeping is simply silent, and everyone reads the number that is present.",10.1,The reading is the algebraic form of the weak-comparability thesis stated in Section 1.1.,elsewhere in the deposit,0.269,0.427,0.0,,,
D0056,supported (near-verbatim),high,1.1,"The illusion has two senses, and they are distinct.",1.1,"It has two senses, and they are distinct.",elsewhere in the deposit,0.835,0.864,0.0,,,
D0057,supported (near-verbatim),high,1.1,"It is the compensatory-aggregation failure above: a deficit in one component is offset by a surplus in another, and a positive aggregate reads as adequacy.",1.1,"The first is arithmetic and is the compensatory-aggregation failure above — a deficit in one component offset by a surplus in another, so that a positive aggregate reads as adequate.",aligned passage,0.819,0.875,0.857,,,
D0058,supported (near-verbatim),high,1.1,Section 10.1 formalises this sense as an aggregation obstruction.,1.1,This article formalises this sense as the aggregation obstruction of Section 10.1.,aligned passage,0.857,0.741,0.857,,,
D0059,supported (near-verbatim),high,1.1,The second sense is dynamical: inflated yield.,1.1,The second sense is dynamical and is yield inflation.,elsewhere in the deposit,0.724,0.771,0.0,,"polarity phrased differently (passage no negator, draft ['not'])",
D0060,supported (near-verbatim),high,1.1,"A measured yield can exceed the true sustainable yield when it is held up by drawing down the support pool — groundwater, soil carbon, available nutrients — instead of by the pool's own regrowth.",1.1,"A measured yield can exceed the true sustainable yield when it is maintained by drawing down the support pool — groundwater, soil carbon, bioavailable nutrients — rather than by that pool's regeneration.",elsewhere in the deposit,0.742,0.865,0.0,,"polarity phrased differently (passage no negator, draft ['not'])",
D0061,supported (near-verbatim),high,1.1,The resource looks productive while what sustains it is being sold off.,1.1,The resource appears productive while what sustains it is liquidated silently.,elsewhere in the deposit,0.583,0.762,0.0,,,
D0062,supported (reworded),medium,1.1,"""Support pool"" means exactly one thing here: a stock that receives the current draw and is not renewed as fast.",2.1,"A *stock* is a compartment's current amount of a species, with a physical unit.",elsewhere in the deposit,0.263,0.387,0.0,,,
D0063,supported (reworded),medium,1.1,The diagnosis does not need a superficially non-renewable reserve.,1.1,"The support pool need not be a superficially non-renewable reserve for this diagnosis to run, and it can be read in more than one way at once — as natural capital, as a stock, or as a slowly regenerating flow of services.",elsewhere in the deposit,0.25,0.143,0.0,,,
D0064,supported (reworded),high,1.1,"The same pool can also be read as natural capital, as a stock, or as a slowly regenerating flow of services.",1.1,"The support pool need not be a superficially non-renewable reserve for this diagnosis to run, and it can be read in more than one way at once — as natural capital, as a stock, or as a slowly regenerating flow of services.",elsewhere in the deposit,0.471,0.506,0.0,,,
D0065,supported (reworded),high,1.1,"These are overlapping readings of one pool, not rival claims about it.",1.1,"These are overlapping readings of the same pool, not mutually exclusive ones.",elsewhere in the deposit,0.5,0.685,0.0,,,
D0066,supported (reworded),medium,1.1,Every such pool regrows on some timescale.,1.1,"Every such pool is regenerative on some timescale — a crop within a season, an aquifer within years to decades, a mineral deposit over geological time — and the failure is the same in each case.",aligned passage,0.267,0.33,1.0,,,
D0067,supported (reworded),medium,1.1,An aquifer within years to decades.,1.1,"Every such pool is regenerative on some timescale — a crop within a season, an aquifer within years to decades, a mineral deposit over geological time — and the failure is the same in each case.",aligned passage,0.258,0.305,1.0,,,
D0068,supported (reworded),medium,1.1,A mineral deposit over geological time.,1.1,"Every such pool is regenerative on some timescale — a crop within a season, an aquifer within years to decades, a mineral deposit over geological time — and the failure is the same in each case.",aligned passage,0.297,0.335,1.0,,,
D0069,supported (reworded),medium,1.1,The failure is identical in all three cases.,6,"The distinction matters because ""time to depletion"" is publicly used as if all three were one quantity.",elsewhere in the deposit,0.287,0.406,1.0,,,
D0070,supported (reworded),high,1.1,What decides it is the ratio between the pool's renewal rate and the rate at which it is used.,1.1,What decides is the renewal rate of the pool relative to the rate of use.,aligned passage,0.522,0.585,1.0,,,
D0071,supported (near-verbatim),high,1.1,A draw that falls on the pool's regrowth is sustained use.,1.1,A use that falls on the pool's regeneration is sustained.,aligned passage,0.703,0.811,1.0,,,
D0072,supported (near-verbatim),high,1.1,A draw that falls on the pool itself is liquidation.,1.1,One that falls on the pool itself is liquidation.,aligned passage,0.8,0.909,1.0,,,
D0073,needs check: inference,high,1.1,So a drawdown is recoverable only insofar as the pool regrows faster than it is taken.,1.1,"A drawdown is recoverable only insofar as the pool regenerates faster than it is taken; if a pool regenerates too slowly for the rate at which it is taken, drawdown is still liquidation.",aligned passage,0.553,0.597,1.0,needs check: inference: the sentence opens on an inferential connective and the passage states no consequence,,
D0074,supported (reworded),high,1.1,"If a pool regrows too slowly for the rate at which it is taken, the drawdown is liquidation however large the pool is.",1.1,"A drawdown is recoverable only insofar as the pool regenerates faster than it is taken; if a pool regenerates too slowly for the rate at which it is taken, drawdown is still liquidation.",aligned passage,0.506,0.562,1.0,,,
D0075,supported (near-verbatim),high,1.1,The size of a pool is a property of the resource.,1.1,The size of the pool is a property of the resource.,aligned passage,1.0,0.959,1.0,,,
D0076,supported (near-verbatim),high,1.1,Whether its drawdown is recoverable is a property of the rate.,1.1,Whether a drawdown is recoverable is a property of the rate.,aligned passage,1.0,0.967,1.0,,,
D0077,not a claim (signposting),medium,1.1,"It is a **non-example** in our terms, not a result: the intuition that a huge deposit is therefore safe is not a claim the ledger can even state, because size and recoverability are quantities of different kinds.",2.6,Two results control what the ledger's stock equation becomes when its support pool saturates.,elsewhere in the deposit,0.207,0.313,0.0,,"the sentence reports what the document does, not what the world does",
D0078,supported (reworded),medium,1.1,"Two design choices follow from this reading, and both are load-bearing.",2.1,Two readings follow from the definition.,elsewhere in the deposit,0.388,0.523,0.0,,,
D0079,supported (reworded),medium,1.1,"The first is that a measured yield is booked against its own generating flux, never against a stock level.",1.1,The yield-inflation sense is the wear phase: measured yield stays up while nothing in the yield series records the drawdown.,elsewhere in the deposit,0.273,0.418,0.0,,,
D0080,supported (reworded),medium,1.1,A revenue or an extraction rate is recorded from the flow that produced it.,1.1,Whether a drawdown is recoverable is a property of the rate.,elsewhere in the deposit,0.301,0.466,0.0,,"polarity phrased differently (passage no negator, draft ['cannot', 'never'])",
D0081,unsupported: no partner located,medium,1.1,That is why support drawdowns cannot be traded against revenue anywhere in the ledger.,1.3,"Section 10 states what the ledger does not support, and Section 11 concludes.",elsewhere in the deposit,0.212,0.237,0.0,,nothing in the deposit shares enough content words with this sentence to be its original,
D0082,supported (reworded),medium,1.1,The second is that the two-pool architecture exists to detect the wear phase of the productivity illusion.,1.1,The two-pool architecture of this article exists to detect exactly this yield-inflation sense.,elsewhere in the deposit,0.432,0.533,0.0,,,
D0083,supported (reworded),medium,1.1,In plain terms: it is built to make a hidden drawdown visible while the yield line still looks normal.,1.1,The yield-inflation sense is the wear phase: measured yield stays up while nothing in the yield series records the drawdown.,elsewhere in the deposit,0.28,0.398,0.0,,,
D0084,supported (reworded),medium,1.1,"It is built to detect this phase, and no more.",1.1,The two-pool architecture of this article exists to detect exactly this yield-inflation sense.,elsewhere in the deposit,0.285,0.444,0.0,,,
D0085,needs check: scope,medium,1.1,"That distinction has teeth, because the article does not oversell it.",6,"The distinction matters because ""time to depletion"" is publicly used as if all three were one quantity.",elsewhere in the deposit,0.354,0.527,0.0,needs check: scope: the sentence this one restates is conditioned by ['if']; the draft states it unconditionally,,
D0086,supported (reworded),medium,1.1,No two-pool model is claimed as established.,1.2,**What is not claimed.** The article is equally explicit about what it does not establish.,elsewhere in the deposit,0.331,0.397,0.0,,,
D0087,supported (reworded),high,1.1,"The groundwater two-pool model is a **registered open gap**, and the applied object actually admitted is a one-pool affine approximation (Section 8.2).",1.1,"The groundwater two-pool model is a registered open gap whose admitted applied object is the one-pool affine approximation (Section 8.2), and spawning biomass is explicitly not an abiotic support pool (Section 6.5.4).",elsewhere in the deposit,0.635,0.647,0.0,,,
D0088,needs check: attribution,high,1.1,Spawning biomass is explicitly not an abiotic support pool (Section 6.5.4).,6.5.4,Spawning biomass is not an abiotic support pool.,elsewhere in the deposit,0.723,0.803,0.0,"needs check: strength: the passage hedges with ['would']; this sentence asserts without a hedge | needs check: attribution: the sentence this one restates cites Ricard, 2012; the draft dropped the source",,
D0089,not a claim (signposting),medium,1.1,"And ""the stock is large"" is not an available argument at all: size and recoverability are different kinds of quantity, and every depletion horizon in this article is stated against a rate and a barrier.",6,"The distinction matters because ""time to depletion"" is publicly used as if all three were one quantity.",elsewhere in the deposit,0.241,0.343,0.0,,"the sentence reports what the document does, not what the world does",
D0090,supported (near-verbatim),high,1.1,The asymmetry that makes this second sense dangerous has a mechanical picture.,1.1,The temporal asymmetry that makes the yield-inflation sense dangerous has a mechanical picture.,aligned passage,0.766,0.847,0.667,,,
D0091,supported (reworded),medium,1.1,An elevator rated for ten people will carry fourteen for a long time.,1.1,An elevator rated for ten people will hold fourteen for a long time: the cable does not part on the fourteenth passenger but only after the accumulated wear it never shows.,aligned passage,0.449,0.529,0.667,,,
D0092,supported (reworded),medium,1.1,The cable does not part on the fourteenth passenger.,1.1,An elevator rated for ten people will hold fourteen for a long time: the cable does not part on the fourteenth passenger but only after the accumulated wear it never shows.,aligned passage,0.349,0.462,0.667,,,
D0093,supported (reworded),medium,1.1,"It parts later, under accumulated wear that the passenger count never shows.",1.1,An elevator rated for ten people will hold fourteen for a long time: the cable does not part on the fourteenth passenger but only after the accumulated wear it never shows.,aligned passage,0.335,0.385,0.667,,,
D0094,supported (reworded),medium,1.1,During the overshoot nothing announces the damage.,1.1,"During the overshoot nothing announces the damage — the wear is diffuse, gradual, and invisible to everyone riding the car — while the snap, when it comes, is sudden and total.",aligned passage,0.38,0.45,0.667,,,
D0095,supported (reworded),medium,1.1,"The wear is diffuse, gradual, and invisible to everyone riding.",1.1,"During the overshoot nothing announces the damage — the wear is diffuse, gradual, and invisible to everyone riding the car — while the snap, when it comes, is sudden and total.",aligned passage,0.447,0.524,0.667,,,
D0096,supported (reworded),medium,1.1,"The snap, when it comes, is sudden and total.",1.1,"During the overshoot nothing announces the damage — the wear is diffuse, gradual, and invisible to everyone riding the car — while the snap, when it comes, is sudden and total.",aligned passage,0.325,0.398,0.667,,,
D0097,supported (near-verbatim),high,1.1,"The productivity illusion is the wear phase: measured yield stays up, and nothing in the yield record registers the drawdown.",1.1,The yield-inflation sense is the wear phase: measured yield stays up while nothing in the yield series records the drawdown.,aligned passage,0.666,0.774,0.667,,,
D0098,supported (reworded),high,1.1,The two-pool architecture exists to make the wear measurable while the cable still holds.,1.1,"The two-pool architecture exists for exactly this reason: to make the wear measurable while the cable still holds, not to predict the snap (Section 7 states what the passage-time results do and do not condition on).",aligned passage,0.561,0.59,0.667,,,
D0099,not a claim (signposting),medium,1.1,"Section 7 states what the passage-time results do and do not condition on, and it is not a snapping-time calculation.",1.1,"The two-pool architecture exists for exactly this reason: to make the wear measurable while the cable still holds, not to predict the snap (Section 7 states what the passage-time results do and do not condition on).",aligned passage,0.354,0.449,0.667,,"the sentence reports what the document does, not what the world does",
D0100,supported (reworded),high,1.1,"What Section 6.5.2 actually reports is per-resource, per-pool horizons for each component, at each object's own status.",1.1,"What Section 6.5.2 actually reports is per-resource, per-pool component-resolved horizons at each object's own status — not a supporting-pool column that the applied data do not carry.",elsewhere in the deposit,0.634,0.653,0.0,,,
D0101,supported (reworded),medium,1.1,"There is no ""supporting pool"" column, because the applied data do not carry one.",1.1,"What Section 6.5.2 actually reports is per-resource, per-pool component-resolved horizons at each object's own status — not a supporting-pool column that the applied data do not carry.",elsewhere in the deposit,0.367,0.512,0.0,,,
D0102,supported (near-verbatim),high,1.1,**Why reserve-life arithmetic is not a forecast.** The classification-drift failure is well documented on the data side.,1.1,The classification-drift failure is well documented on the data side.,aligned passage,0.712,0.749,1.0,,"attribution moved: Tilton, 2003, Lagos & Tilton, 2007, Srivastava & Vegi, 2024 are cited elsewhere in the deposit ; polarity phrased differently (passage no negator, draft ['not'])",
D0103,supported (near-verbatim),high,1.1,"A reserve-life ratio is arithmetic: reserves left, divided by current production.",1.1,Reserve-life ratios are arithmetic: remaining reserves divided by current production.,aligned passage,0.82,0.855,1.0,,"attribution moved: Tilton, 2003, Lagos & Tilton, 2007, Srivastava & Vegi, 2024 are cited elsewhere in the deposit",
D0104,supported (near-verbatim),high,1.1,"Because reserves are an *economic* classification — they move with price, technology, exploration, and regulation — the quotient is not an exhaustion forecast.",1.1,"Because reserves are an economic classification that changes with prices, technology, exploration, and regulation — not a fixed physical stock — the ratio is not an exhaustion forecast.",aligned passage,0.673,0.836,1.0,,"attribution moved: Tilton, 2003, Lagos & Tilton, 2007, Srivastava & Vegi, 2024 are cited elsewhere in the deposit",
