locator_id,source_id,source_sha256,source_label,source_title,statement_start_line,statement_end_line,proof_start_line,proof_end_line,statement_words,proof_words,proof_presence,substantive_correction_dependencies,documentation_dependencies,verification_status,source_file
TM-A001-024,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 4.6 (Belief viability fixed point).,"Let $\mathfrak S = \{B \neq \varnothing : B \subseteq \mathcal V\}$ and define $\mathfrak K_0 = \mathfrak S$, $\mathfrak K_{n+1} = \mathfrak K_n \cap \operatorname{Pre}(\mathfrak K_n)$. Then $B \in \mathfrak K_n$ iff an observation-based policy keeps every compatible physical trajectory in $\mathcal V$ for $n$ sampling periods; and under compactness and closed-graph hypotheses,",526,533,534,539,96,501,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-025,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Definition 4.4 (Safely informative action).,An action $u \in \mathcal A_\Delta(B)$ is *safely informative* relative to a belief-size functional $r$ if,540,549,,,66,0,not_required_definition_or_example,,V-A001-13;V-A001-14,definition_or_nonproof_item,uploads/topdown.txt
TM-A001-026,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 4.7 (Instantaneous common-action obstruction).,"Suppose $B$ is a possible information set containing a state on $\partial \mathcal V$, and",550,557,,,78,0,proof_omitted_add_explicit_one_step_proof,,V-A001-13;V-A001-14,publication_proof_rewrite_required,uploads/topdown.txt
TM-A001-027,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Example 4.1 (Hidden-mode conflict).,"Let an unobserved parameter satisfy $\theta \in \{-1,+1\}$, with $\dot z = \theta u$, $u \in \{-1,+1\}$, $z \ge 0$. At $z=0$: if $\theta=+1$ only $u=+1$ is safe; if $\theta=-1$ only $u=-1$ is safe. Both states are individually robustly viable, but $B = \{(0,+1),(0,-1)\}$ admits **no common safe action**, so $B \notin \operatorname{ERViab}$. This is a purely informational failure: no stochasticity or estimation quality is involved, and each state is individually robustly viable while the joint belief is not.",558,559,,,93,0,not_required_definition_or_example,,V-A001-13;V-A001-14,definition_or_nonproof_item,uploads/topdown.txt
TM-A001-028,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 4.8 (Delayed-information obstruction).,"If every possible action at belief $B_0$ allows a disturbance and a compatible state to reach a locally nonviable boundary point before the next informative observation time $T_{\mathrm{obs}}$, then $B_0 \notin \operatorname{ERViab}$. A sufficient condition is the existence of $q$ and $\varepsilon > 0$ with $\inf_{x \in B_t} \inf_{d} D^+ q(x;f(x,u,d)) \le -\varepsilon$ throughout an uncertainty branch and $T_{\mathrm{obs}} > \frac{\inf_{x \in B_0} q(x)}{\varepsilon}$. Information may be accurate but arrive too late.",560,561,562,567,91,232,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-029,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 4.9 (Observer safety buffer).,"Let $Q = \{x : b_j(x) \ge 0\}$ with each $b_j \in C^1$, and let a nominal feedback $k$ satisfy, on active boundaries,",568,581,582,610,156,309,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-030,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Proposition 4.1 (Eroded kernels under output feedback).,"Suppose: (i) $K$ is robustly invariant under full-state feedback; (ii) the feedback has a strict inward margin on $\partial K$; and (iii) estimation and implementation errors are bounded by $\varepsilon$ in a compatible norm. Then, for sufficiently small $\varepsilon$, an eroded set $K^{-c\varepsilon}$ is invariant under output feedback for some sensitivity constant $c > 0$.",611,612,613,665,64,361,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-031,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Definition 5.1.,"For smooth $q_j$, define the safe-control correspondence",666,683,,,80,0,not_required_definition_or_example,,V-A001-13;V-A001-14,definition_or_nonproof_item,uploads/topdown.txt
TM-A001-032,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 5.1.,"If $\mathcal R_{\mathcal V}(x) \neq \varnothing$ for all $x \in \mathcal V$, and the correspondence admits a measurable feedback selection, then $\mathcal V$ is robustly controlled invariant: $\mathcal V \subseteq \operatorname{RViab}(\mathcal V)$.",684,685,686,689,39,83,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-033,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 5.2.,"Suppose there is a constraint function $q$, constants $a, \varepsilon > 0$, and a strip $\mathcal S_a = \{x : 0 \leq q(x) \leq a\}$ such that",690,702,703,708,78,65,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-034,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Definition 5.2 (Viability crisis).,A parameter path $\lambda \mapsto P(\lambda)$ undergoes a *viability crisis* at $\lambda^*$ if $\operatorname{Viab}(\mathcal V; P(\lambda)) \neq \varnothing$ for $\lambda < \lambda^*$ and $= \varnothing$ for $\lambda > \lambda^*$. The map $\lambda \mapsto \operatorname{Viab}(\mathcal V; P(\lambda))$ is then discontinuous at $\lambda^*$ in the sense of set-valued (kernel) convergence.,709,764,,,476,0,not_required_definition_or_example,,V-A001-13;V-A001-14,definition_or_nonproof_item,uploads/topdown.txt
TM-A001-035,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Proposition 6.2 (Quasi-positivity: orthant invariance).,"Under $g(0) = 0$, $h_{\max}(0) = 0$, $w \ge 0$, and $\delta(0) = 0$, the nonnegative orthant $\mathbb R_+^2$ is invariant for the resource–sink system: no admissible trajectory exits $\{S \ge 0, K \ge 0\}$.",765,766,767,772,44,80,located,V-A001-03,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-036,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 6.1.,"Suppose the pointwise minimum control $\underline H(S) := \min U(S)$ is measurable. If $H_1(t) \leq H_2(t)$ for all $t$ (where both are admissible), and both trajectories start from $(S_0, K_0)$, then",773,788,789,820,84,366,located,V-A001-03,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-037,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 6.2 (Unimodal resource–sink kernel).,Assume (U) and $H_{\min} > 0$. Then $\operatorname{Viab}(\mathcal V_{\mathrm{RS}}) = \varnothing$ unless:,821,851,852,865,162,266,located,V-A001-03,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-038,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Corollary 6.1 (Constrained MSY).,Among constant-harvest equilibria in $\mathcal V_{\mathrm{RS}}$:,866,900,,,487,0,derivation_embedded_in_statement,V-A001-03,V-A001-13;V-A001-14,source_derivation_identified_manual_rewrite_required,uploads/topdown.txt
TM-A001-039,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 6.3.,"Let $g(S) = R - aS$, $R > 0$, $a \geq 0$. Then $\operatorname{Viab}(\mathcal V_{\mathrm{RS}}) = \varnothing$ unless: (i) $H_{\min} \leq R - aS_{\min}$; (ii) $K^\dagger \leq K_{\max}$; (iii)–(iv) $S_\sharp, S_{\min} \leq (R - H_{\min})/a$ if $a > 0$. When satisfied:",901,908,909,918,67,273,located,V-A001-03,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-040,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 6.4 (Allee shutdown kernel).,"Under (A), $H_{\min} = 0$, shutdown admissible:",919,932,933,938,75,279,located,V-A001-03,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-041,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 6.5 (Allee kernel with output floor).,"Under (A), $0 < H_{\min} < H_*$: no point with $S \leq A$ is viable. The kernel is $[\max(S_{\min}, S_\sharp, S_-), \infty) \times [0, K_{\max}]$ where $S_\pm$ are the roots of $g = H_{\min}$ in $(A, C)$.",939,940,941,958,49,249,located,V-A001-03,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-042,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Proposition 6.1 (Mass balance).,In the four-stock system:,959,966,967,987,26,154,located,V-A001-03,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-043,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 6.6 (Pollution-suppressed growth).,,988,993,994,1061,160,756,located,V-A001-03;V-A001-04,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-044,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 7.1 (Constant-harvest joint kernel).,"If $\mathcal K_{\mathrm{eco}}(h) \neq \varnothing$ and $c_{\min} \leq c_{\max}(h)$, then",1062,1082,1083,1086,115,97,located,V-A001-05,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-045,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Lemma 7.1 (Scalar concave capital viability).,"Let $\Phi: \mathbb R_+ \to \mathbb R$ be continuous and concave. The system $\dot A = \Phi(A) - c$ with $c \geq c_{\min}$ and $A \geq 0$ has viability kernel $[A_-, \infty)$ where $A_- = \inf\{A \geq 0 : \Phi(A) \geq c_{\min}\}$, provided $\sup_A \Phi(A) \geq c_{\min}$. Otherwise the kernel is empty.",1087,1088,1089,1104,62,388,located,V-A001-05,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-046,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Definition 7.1.,Define the maximal stationary sustainable consumption,1105,1118,,,63,0,not_required_definition_or_example,V-A001-05,V-A001-13;V-A001-14,definition_or_nonproof_item,uploads/topdown.txt
TM-A001-047,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 7.2 (Stationary joint viability).,"A stationary sustainable state with $c \geq c_{\min}$ exists if and only if there are $h, S, A, K$ such that",1119,1134,1135,1140,78,96,located,V-A001-05,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-048,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 7.3 (Distributional feasibility and physical side effects).,"Let $G$ be the set of groups with consumption floors $c_{\min,g}$, and let $C_{\min} = \sum_g c_{\min,g}$. Let $Y = (1 - \beta)H$ denote the output available for distribution, where $\beta \in [0, 1)$ is the fraction of harvest lost to non-consumption uses.",1141,1160,1161,1203,240,246,located,V-A001-05,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-049,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 8.1.,"For fixed $R > 0$, let $c_{\max}(R) = \sup_{A \geq 0} [F(A, R) - \delta_A A]$. Then:",1204,1221,1222,1243,112,278,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-050,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Corollary 8.1 (Essentiality and unbounded-substitution thresholds).,"In the dimensionally correct CES specification, $\sigma = 1$ is the sharp threshold for two distinct properties:",1244,1249,1250,1261,116,499,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-051,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 9.1.,For $\dot S = -H(t)$ with $H(t) \geq 0$ and $S(0) = S_0$:,1262,1281,1282,1283,107,4,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-052,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Corollary 9.1.,"Strong sustainability (permanent $S \geq S_{\min} > 0$) under an exhaustible resource requires $\int_0^\infty H(s)\, ds \leq S_0 - S_{\min}$. If $S_{\min} > 0$, this bounds total cumulative extraction. The Hartwick rule maintains weak sustainability (constant consumption) but not strong sustainability.",1284,1299,,,94,0,immediate_from_direct_integration,V-A001-05,V-A001-13;V-A001-14,source_derivation_identified_manual_rewrite_optional,uploads/topdown.txt
TM-A001-053,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 10.1.,The viability kernel of $\Omega$ under the minimal-harvest field is an upper set:,1300,1309,1310,1317,37,125,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-054,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 10.2.,For the planar two-patch logistic system with $d > 0$:,1318,1325,1326,1333,29,271,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-055,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Counterexample 10.1 (Emptiness despite factorwise viability at MSY).,"Take $d > 0$, $C_1 \neq C_2$, $H_{\min,i} = r_i C_i / 4$ (MSY level). Each isolated system has kernel $[C_i/2, \infty) \times [0, K_{\max,i}]$.",1334,1343,,,242,0,not_required_definition_or_example,,V-A001-13;V-A001-14,definition_or_nonproof_item,uploads/topdown.txt
TM-A001-056,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Example 10.1 (Coupling creates viability absent in a factor).,"Take $g_i(s) = s(1-s)$, $d = 0.2$. Choose $(S_1^*, S_2^*) = (0.5, 0.8)$. Define harvest floors by the equilibrium equations:",1344,1361,,,171,0,not_required_definition_or_example,,V-A001-13;V-A001-14,definition_or_nonproof_item,uploads/topdown.txt
TM-A001-057,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Proposition 10.1 (Generic non-polyhedrality).,"For an open dense set of logistic parameters satisfying transversality and nondegeneracy conditions, the interior viability barrier has nonzero curvature and hence is not polyhedral.",1362,1363,1364,1379,30,340,located,V-A001-06,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-058,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Example 10.2 (Identical-patch orbital barrier; explicit).,"Take two identical Schaefer patches $g(s) = s(1-s)$ (so $r = C = 1$), harvest floor $H_{\min} = 0.15 < H_* = 0.25$, floor level $a = 0.1$, and diffusion $d = 0.2$. The roots of $g(S) = H_{\min}$ are $S_- = \tfrac12(1 - \sqrt{0.4}) \approx 0.1838$ and $S_+ = \tfrac12(1 + \sqrt{0.4}) \approx 0.8162$. The corner Nagumo condition (Theorem 10.4) fails, since $\varphi(a) = a(1-a) - H_{\min} = -0.06 < 0$. The tangency height on the face $\{S_1 = a\}$ is $s^* = a - \varphi(a)/d = 0.1 + 0.3 = 0.4$, giving the two tangency points $(0.1, 0.4)$ and $(0.4, 0.1)$; at $(0.1, 0.4)$ the field is $f = \bigl(0,\; \varphi(0.4) + d(0.1 - 0.4)\bigr) = (0, 0.03)$, vertical and upward. The diagonal equilibrium $(S_+, S_+) \in \Omega$ exists, so by Theorem 10.2 the kernel is nonempty. It is the proper unbounded upper set",1380,1397,,,386,0,not_required_definition_or_example,V-A001-02,V-A001-13;V-A001-14,definition_or_nonproof_item,uploads/topdown.txt
TM-A001-059,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 10.3.,"For $d > 0$ and logistic growth, define $b_i = r_i / C_i$ and $Q_i(s) = b_i s^2 + (d - r_i)s + H_{\min,i}$. Then $S = (S_1, S_2) \in \Omega$ is an equilibrium of $f_{\min}$ iff $S_2 = Q_1(S_1)/d$ and $S_1$ is a real root of the quartic",1398,1405,1406,1409,101,35,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-060,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 10.4.,$\Omega$ is invariant under $f_{\min}$ iff the corner Nagumo condition holds:,1410,1419,1420,1433,48,158,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-061,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 11.1.,"For finite $V$, monotone loads, irreversible failures: the cascade terminates in at most $\",1434,1435,1436,1439,20,19,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
TM-A001-062,A001,58bbfe28ae6d95f64b5ce9ad905d579c698f94316bc0cbd3fa4d9e54f9b5f1c3,Theorem 11.2 ($k$-redundancy).,If every node is $k$-redundant and $\,1440,1441,1442,1443,18,22,located,,V-A001-13;V-A001-14,source_proof_located_not_reverified,uploads/topdown.txt
