action_id,source,action_type,title,target,priority,status,dependencies,completion_evidence,notes
V-A006-06,A006,verification,Correct mismatch between finite-horizon recursion and Tarski operator,sampled epistemic-institutional theorem,critical,completed,,revised_articles/A006_robust_epistemic_corrected.tex,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A006-07,A006,verification,Verify countable-intersection conditions after operator correction,infinite-horizon fixed point,critical,completed,,revised_articles/A006_robust_epistemic_corrected.tex,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A007-01,A007,verification,Remove discrete institutional mode from continuous physical history or define proper hybrid history space,state/phase architecture,critical,completed,,revised_articles/A007_hybrid_architecture_corrected.tex,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A007-02,A007,verification,Eliminate duplication of institutional state between B_t histories and separate h_t,information state,critical,completed,,revised_articles/A007_hybrid_architecture_corrected.tex,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
B-A007-07,A007,bridge,"Integrate substitution, spatial, and diagnostic scope warnings",scope and module interfaces,high,blocked,V-A007-10,,
R-AUDIT6-04,AUDIT-006,audit_residual,Enforce computational-object reproducibility standard,numerical proposition protocol,high,completed,,Computational standard implemented in protocol and research_program/computational_objects.csv,Internal methodology only; not a publication candidate.
V-A008-10,A008,verification,Remove or validate regulatory-capture index and denominator,RCI,critical,open,,,
B-A008-02,A008,bridge,Design multidimensional institutional response-capacity vector,master institutional module,high,blocked,V-A008-06;V-A008-13;V-A008-14,,
V-A009-05,A009,verification,"Operationalize each adaptive-capacity axis, scale, data source, floor, and uncertainty",measurement model,critical,open,,,
V-A009-12,A009,verification,"Add reproducible PIP queries, weights, survey coverage, and code",data provenance,critical,open,,,
P-CORE-01,PROGRAM,strategic_priority,Canonicalize formal spine and theorem-source hierarchy,canonical specification and flagship spine,critical,active,X-A001-A002-01;X-A001-A002-11;B-A002-01;V-A006-14;V-A007-10,research_program/canonical_system_schema_v1_0.md; research_program/canonical_concordance_A001_A025.csv; research_program/canonical_notation_variant_registry_v1_0.csv,Canonical object and inventory coverage closed; row-level theorem/source verification remains active.
P-DYN-01,PROGRAM,strategic_priority,Develop safety-relevant nonlinear transition module,advanced dynamics,medium,open,P-CORE-02;P-EMP-01;V-A003-11,,Requires reproducible variant archive and sampled/RFDE bridge.
P-PUB-01,PROGRAM,strategic_priority,Complete novelty review and minimum-paper partition,publication architecture,high,active,P-CORE-01;P-CORE-04;P-EMP-01;LIT-GLOBAL-01,research_program/revised_optimal_publication_architecture_A001_A025.md; research_program/A018_ledger_to_dynamics_interface_contract.md; research_program/paper1_finite_architecture_transformation_theorem.md; research_program/paper2_theorem_atlas_content_budget.md,Architecture and A018 seam fixed; Paper 1 proof candidate exists but novelty is open; Paper 2 one-paper length remains unproved pending deduplication.
V-A010-05,A010,verification,Refine periodic-fold conjecture to use fold-specific transverse conditions,conjecture programme,high,open,,,
B-A010-02,A010,bridge,Preserve status-qualified reproduction targets without promoting results,computational registry,high,blocked,V-A010-10;V-A010-11,,
B-A010-03,A010,bridge,Integrate stage-structure interpretation into domain module guidance,stage module,high,blocked,V-A010-12,,
D-GLOBAL-06,GLOBAL,manuscript_policy,Persist every substantive conversational instruction and decision in the same turn,all research-program work,critical,active,,Immediate conversation-to-file capture rule added to research_program_integration_protocol.md,Conversation memory is never authoritative; unlogged content cannot drive revisions.
D-A011-01,A011,integration_decision,Preserve Article 011 source unchanged,source archive,critical,completed,,Source retained at uploads/paper3_empirical.txt,
D-A011-02,A011,integration_decision,Treat as promising empirical/computational companion candidate conditional on reproducibility,publication architecture,high,active,,,
D-A011-03,A011,integration_decision,Keep all reported numerical and empirical results on integration hold,integration queue,critical,active,,,
V-A011-01,A011,verification,Resolve zero-order hold versus convex interpolation inconsistency,sampled model and invariance proposition,high,completed,,revised_articles/A011_periodic_review_corrected.tex,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A011-02,A011,verification,Add tau_m positivity and complete units/parameter domains,sampled model,high,completed,,revised_articles/A011_periodic_review_corrected.tex,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A011-03,A011,verification,Clarify softplus boundary behavior and delta parameter,signal map,high,completed,,revised_articles/A011_periodic_review_corrected.tex,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A011-04,A011,verification,Register delayed-recruitment equations and class-specific parameter vectors,simulation models,critical,open,,,
V-A011-05,A011,verification,Register initial histories solver time steps tolerances event rules and horizons,simulation protocol,critical,open,,,
V-A011-06,A011,verification,Register amplitude/tail classification and refinement rules,trajectory classification,critical,open,,,
V-A011-07,A011,verification,Provide machine-readable trajectories and independent rerun,simulation outputs,critical,open,,,
V-A011-08,A011,verification,Provide frozen RAM stock IDs release query and annual-review eligibility evidence,spectral cohort,critical,open,,,
V-A011-09,A011,verification,Provide processed series detrending frequency bands AR1 null and multiplicity procedure,spectral analysis,critical,open,,,
V-A011-10,A011,verification,Provide spectral code outputs and endpoint/detrending sensitivity,spectral analysis,critical,open,,,
V-A011-11,A011,verification,Provide power simulation code seeds replications normalization and intervals,power analysis,critical,open,,,
V-A011-12,A011,verification,Provide field-case candidate universe screening table sources and calculations,case search,critical,open,,,
V-A011-13,A011,verification,Identify exact ENSO product and reproduce anchoveta calculations,case analysis,high,open,,,
V-A011-14,A011,verification,Preregister MSE endpoints operating-model ensemble and tail-risk precision,prospective MSE,high,open,,,
V-A011-15,A011,verification,Run multiplier analysis before labeling any sampled bifurcation boundary,stability analysis,high,open,,,
V-A011-16,A011,verification,Resolve shared references input for standalone compilation,LaTeX/source,medium,open,,,
B-A011-01,A011,bridge,Integrate governance-time ontology into canonical temporal architecture,flagship timing module,high,blocked,V-A011-02,,
B-A011-02,A011,bridge,Use Article 002 as canonical rapid-review theorem source,theorem registry,high,blocked,V-A011-01,,
B-A011-03,A011,bridge,Connect simulation variants to A003/A010 registry and nonlinear-transition programme,advanced dynamics,high,blocked,V-A011-04;V-A011-05;V-A011-06;V-A011-07,,
B-A011-04,A011,bridge,Assess 42-stock spectral null after reproducibility,empirical evidence module,high,blocked,V-A011-08;V-A011-09;V-A011-10,,
B-A011-05,A011,bridge,Assess power and field-case evidence after reproduction,empirical evidence module,high,blocked,V-A011-11;V-A011-12;V-A011-13,,
B-A011-06,A011,bridge,Develop closed-loop MSE as prospective empirical test,MSE module,high,blocked,V-A011-14,,
B-A011-07,A011,bridge,Decide separate empirical-paper merit after reproducibility gate,publication architecture,high,blocked,V-A011-04;V-A011-07;V-A011-08;V-A011-10;V-A011-11;V-A011-12;V-A011-14,,
B-A011-08,A011,bridge,If evidence fails gate preserve ontology MSE and negative lessons in flagship/supplement,non-loss destination,high,blocked,V-A011-07;V-A011-10;V-A011-12,,
D-A011-04,A011,integration_decision,Treat paper3_empirical2.txt as byte-for-byte duplicate of A011 source,source registry,medium,completed,,Canonical V2 renamed to uploads/paper3_empirical.txt; superseded active upload files deleted by user instruction; V2 SHA-256 unchanged.,Historical provenance remains in source_versions.csv and file-level audit archive.
V-A011-17,A011,verification,Develop source-linked governance-event coding protocol,prospective event panels,critical,open,,,
V-A011-18,A011,verification,Preregister causal estimands and design-specific assumptions,quasi-experimental programme,critical,open,,,
V-A011-19,A011,verification,Specify held-out mechanism-comparison scoring and splits,model comparison,high,open,,,
V-A011-20,A011,verification,"Develop ethical, powered human-in-the-loop protocol",simulated-resource experiment,critical,open,,,
V-A011-21,A011,verification,Preserve distinct uncertainty classes and decision criteria in MSE,MSE uncertainty architecture,high,open,,,
B-A011-09,A011,bridge,Integrate prospective identification programme into empirical companion design,empirical programme,high,blocked,V-A011-17;V-A011-18;V-A011-19;V-A011-20,,
B-A011-10,A011,bridge,Integrate expanded uncertainty-class design into MSE,MSE module,high,blocked,V-A011-21,,
D-A012-01,A012,integration_decision,Preserve Article 012 source unchanged,source archive,critical,completed,,Source retained at uploads/paper2_dynamics.txt,
D-A012-02,A012,integration_decision,Treat as strong separate applied-dynamics paper candidate conditional on reproducibility,publication architecture,high,active,,,
D-A012-03,A012,integration_decision,Permit analytical and source-stated numerical integration; retain targeted model corrections,integration queue,critical,active,,,"Numerical claims accepted by user attestation; source distinctions among numerical result, inferred classification, and conjecture remain binding."
V-A012-01,A012,verification,Clarify admissible history means all history values lie in invariant box,forward-invariance theorem,medium,open,,,
V-A012-02,A012,verification,Correct extinction-face effort equilibrium wording and classify boundary equilibrium,equilibrium section,high,completed,,revised_articles/A012_delay_dynamics_corrected.tex,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A012-03,A012,verification,Verify simplicity/transversality for every reported local Hopf crossing,local thresholds,critical,completed,,Accepted as verified by explicit user instruction; publication-level artifact archive still tracked separately.,
V-A012-04,A012,verification,Supply complete computational supplement and source hashes,numerical results,critical,completed,,Accepted as verified by explicit user instruction; publication-level artifact archive still tracked separately.,
V-A012-05,A012,verification,Independently rerun characteristic roots continuation shooting and Floquet calculations,numerical verification,critical,completed,,Accepted as verified by explicit user instruction; publication-level artifact archive still tracked separately.,
V-A012-06,A012,verification,Verify branch turning and nondegeneracy before fold/SNPO labels,periodic folds,critical,completed,,Accepted as verified by explicit user instruction; publication-level artifact archive still tracked separately.,
V-A012-07,A012,verification,State stopping or donor-limiting rule for fixed-demand stock-culling experiment,M3-LC,critical,completed,,revised_articles/A012_delay_dynamics_corrected.tex,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A012-08,A012,verification,Resolve omega_A versus kappa_A turnover notation,M4-A,critical,completed,,revised_articles/A012_delay_dynamics_corrected.tex,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A012-09,A012,verification,Verify active-material boundary X+U<=M for MPF,MPF admissibility,critical,completed,,revised_articles/A012_delay_dynamics_corrected.tex,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A012-10,A012,verification,Register all M3-LC M4-A MPF equations parameters histories and outputs,variant registry,critical,completed,,Accepted as verified by explicit user instruction; publication-level artifact archive still tracked separately.,
V-A012-11,A012,verification,Verify full unstable-root count around stabilizing/destabilizing crossings,spectral classification,critical,completed,,Accepted as verified by explicit user instruction; publication-level artifact archive still tracked separately.,
V-A012-12,A012,verification,Complete nondimensionalization before comparing thresholds across systems,model comparison,high,open,,,
V-A012-13,A012,verification,Resolve shared references input for standalone compilation,LaTeX/source,medium,open,,,
V-A012-14,A012,verification,Preserve protective-controller scope limitation,interpretation,high,open,,,
B-A012-01,A012,bridge,Integrate verified M3-B analytical core as registered flagship instantiation,flagship advanced dynamics,high,blocked,V-A012-01;V-A012-02,,
B-A012-02,A012,bridge,Connect characteristic/cubic theorem to general delay module,Operator I/delay module,high,blocked,V-A012-03,,
B-A012-03,A012,bridge,Connect model registry to A003/A010/A011 and mark non-equivalence,advanced dynamics registry,high,blocked,V-A012-10,,
B-A012-04,A012,bridge,Integrate identifiability transformation into empirical design,identification module,high,blocked,V-A012-12,,
B-A012-05,A012,bridge,Integrate support-saturated identity with A002 reduction theorem,ecological reduction,high,blocked,V-A012-09,,
B-A012-06,A012,bridge,Evaluate numerical propositions after independent rerun,numerical evidence module,high,open,V-A012-04;V-A012-05;V-A012-06;V-A012-11,Numerical propositions accepted as verified by D-A012-04; ready for integration review.,
B-A012-07,A012,bridge,Finalize separate-paper merit after numerical gate,publication architecture,high,blocked,V-A012-04;V-A012-05;V-A012-06;V-A012-10;V-A012-13,,
D-A012-04,A012,verification_decision,Accept Article 012 numerical claims as verified at their source-stated status,Article 012 integration and publication planning,critical,completed,,Explicit user instruction: trust that extensive numerical claims have been verified,Do not upgrade inferred classifications or conjectures beyond source wording. Reproducibility archive remains a publication obligation.
P-A012-01,A012,publication_documentation,Archive Article 012 code parameters histories branches multipliers and outputs for publication,computational supplement,high,open,,,Numerical truth status accepted; this task concerns reproducibility and reader auditability.
P-A012-02,A012,publication_documentation,Document independent rerun provenance for Article 012 numerical results,computational supplement,high,open,,,Numerical truth status accepted; this task concerns reproducibility and reader auditability.
D-A013-01,A013,integration_decision,Preserve Article 013 source unchanged,source archive,critical,completed,,Source retained at uploads/paper1_accounting.txt,
D-A013-02,A013,integration_decision,Permit analytical accounting and reported application-value integration,integration queue,critical,active,,,Values accepted as verified; publication documentation remains pending.
D-A013-03,A013,integration_decision,Prefer flagship/accounting supplement unless independent application contribution emerges,publication architecture,high,active,,,
V-A013-01,A013,verification,Rename service readout to avoid observation-operator collision,notation,medium,completed,,revised_articles/A013_component_accounting_corrected.tex,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A013-02,A013,verification,State closedness/attainment qualification for regenerative support fraction,support gap,high,completed,,revised_articles/A013_component_accounting_corrected.tex,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A013-03,A013,verification,Optionally add boundedness/global continuation corollary,six-compartment ledger,low,open,,,
V-A013-04,A013,verification,Provide G3P files masks processing code trend method and outputs,groundwater application,critical,completed,,Accepted as verified by explicit user instruction; source/supplement documentation deferred to submission.,
V-A013-05,A013,verification,Verify groundwater trend units and reported magnitudes,groundwater application,critical,completed,,Accepted as verified by explicit user instruction; source/supplement documentation deferred to submission.,
V-A013-06,A013,verification,Provide exact USGS reserve/production vintage,phosphate application,high,completed,,Accepted as verified by explicit user instruction; source/supplement documentation deferred to submission.,
V-A013-07,A013,verification,Resolve shared references input for standalone compilation,LaTeX/source,medium,open,,,
V-A013-08,A013,verification,Provide computational supplement claimed by data/code section,application reproducibility,critical,completed,,Accepted as verified by explicit user instruction; source/supplement documentation deferred to submission.,
V-A013-09,A013,verification,Run canonical-source selection against Article 002,theorem/source registry,high,open,,,
B-A013-01,A013,bridge,Integrate six-compartment ledger as worked accounting example,flagship/accounting supplement,high,completed,V-A013-01;V-A013-09,revised_sustainability_manuscript.md §19A,Integrated at the source-appropriate evidence status; remaining calibration or documentation tasks remain separate.
B-A013-02,A013,bridge,Integrate depletion-diagnostic taxonomy,master diagnostic module,high,completed,V-A013-09,revised_sustainability_manuscript.md §19A,Integrated at the source-appropriate evidence status; remaining calibration or documentation tasks remain separate.
B-A013-03,A013,bridge,Integrate service readout and support-provenance example,service/substitution module,high,completed,V-A013-01;V-A013-02,revised_sustainability_manuscript.md §19A,Integrated at the source-appropriate evidence status; remaining calibration or documentation tasks remain separate.
B-A013-04,A013,bridge,Assess groundwater anomaly application after reproduction,domain evidence,high,open,V-A013-04;V-A013-05;V-A013-08,Application values accepted as verified by D-A013-04.,
B-A013-05,A013,bridge,Integrate phosphate/fisheries examples after source documentation,accounting examples,high,open,V-A013-06,Application values accepted as verified by D-A013-04.,
B-A013-06,A013,bridge,Mark general theorem overlap superseded by Article 002 where appropriate,non-loss/source registry,high,blocked,V-A013-09,,
B-A013-07,A013,bridge,Reassess separate accounting-paper merit after application gate,publication architecture,high,blocked,V-A013-04;V-A013-05;V-A013-06;V-A013-08,,
D-A013-04,A013,verification_decision,Accept Article 013 empirical application values as verified,Article 013 integration and publication planning,critical,completed,,Explicit user instruction that application values have been verified and supporting materials will be provided at submission,Do not treat absence of current workspace supplement as a truth-verification hold; retain submission documentation tasks.
P-A013-01,A013,publication_documentation,Provide G3P files masks processing code trend method and outputs at submission,submission supplement,high,open,,,Truth status accepted; task concerns reproducibility and source disclosure.
P-A013-02,A013,publication_documentation,Provide exact USGS reserve/production source vintage at submission,submission references,high,open,,,Truth status accepted; task concerns reproducibility and source disclosure.
P-A013-03,A013,publication_documentation,Provide shared bibliography and computational supplement at submission,submission package,high,open,,,Truth status accepted; task concerns reproducibility and source disclosure.
D-CROSS-01,PROGRAM,cross_source_decision,Complete cross-review of Articles 001–013 and update canonical source hierarchy,source registry and publication architecture,critical,completed,,research_program/cross_article_review_A001_A013.md and cross_source_gap_register.csv created,Later sources partially close groundwater phosphorus nonlinear dynamics sampled governance accounting and epistemic gaps.
D-A014-02,A014,integration_decision,Retain corrected scalar-autonomous obstruction and crash/non-recovery split,A011 or flagship case,high,active,,,
D-A014-03,A014,integration_decision,Defer separate-paper role until correction and reproducibility,publication architecture,high,active,,,
V-A014-01,A014,verification,Restate exact autonomous scalar phase-line theorem and separate time-varying catch,core theorem,critical,completed,,revised_articles/A014_northern_cod_revised.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A014-02,A014,verification,Add threshold-shift existence conditions and remove unsupported finite-time climb claim,threshold lemma and trichotomy,critical,completed,,revised_articles/A014_northern_cod_revised.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A014-03,A014,verification,Replace biological-cause language with model-formulation attribution,NCAM interpretation,critical,completed,,revised_articles/A014_northern_cod_revised.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A014-05,A014,verification,Remove annual-SSB timing inference and distinguish response speed from adequacy,institutional analysis,critical,completed,,revised_articles/A014_northern_cod_revised.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A014-07,A014,verification,Replace internal programme labels and status icons with publication prose,entire article,medium,completed,,revised_articles/A014_northern_cod_revised.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
B-A014-01,A014,bridge,Integrate corrected cod case into A011 empirical architecture,A011 companion,high,blocked,V-A014-01;V-A014-03;V-A014-04;V-A014-05,,
V-A015-01,A015,verification,Remove settled biological-cause and adequate-governance claims,cod interpretation,critical,completed,,revised_articles/A015_rejected_multidomain_archival_note.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A015-02,A015,verification,Preserve rejected conjunction only with exact formula and counterexample,negative result,high,completed,,revised_articles/A015_rejected_multidomain_archival_note.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A016-01,A016,verification,Use current $3.00 2021-PPP poverty line or explicitly historical $2.15 2017-PPP vintage,PIP measurement,critical,completed,,revised_articles/A016_adaptive_capacity_revised.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A016-02,A016,verification,Align declared population with CSD or licence-holder data,population definition,critical,completed,,revised_articles/A016_adaptive_capacity_revised.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A016-05,A016,verification,Correct contradiction about whether Newfoundland table was computed,limitations,high,completed,,revised_articles/A016_adaptive_capacity_revised.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A016-06,A016,verification,Define authority baselines uncertainty and diversification semantics for floors,normative measurement,high,completed,,revised_articles/A016_adaptive_capacity_revised.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A016-07,A016,verification,Correct finite LogSumExp interpretation and preserve exact conjunction,mathematical redesign,high,completed,,revised_articles/A016_adaptive_capacity_revised.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A016-08,A016,verification,Specify descriptive versus causal design for biomass-community conjecture,empirical programme,critical,completed,,revised_articles/A016_adaptive_capacity_revised.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
B-A016-02,A016,bridge,Link reproducible community series to A014 and A011,cod social-ecological case,high,blocked,V-A016-03;V-A016-04;V-A016-08,,
V-A017-01,A017,verification,Remove biological-cause and timing-adequacy overclaims,cod interpretation,critical,completed,,revised_articles/A017_institutional_index_negative_revised.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
V-A017-03,A017,verification,Restrict margin failure to tested case/direction and define constructs,replacement margins,high,completed,,revised_articles/A017_institutional_index_negative_revised.md,Implemented in corrected publication source; any empirical/reproducibility dependencies remain separate actions.
D-A014-A017-VERIFY-01,A014-A017,cross_source_decision,Evaluate verify register and cross-review four final-labelled submissions before integration,A014-A017 source hierarchy and integration queue,critical,completed,,research_program/article_014_northern_cod/evaluation_and_verification.md; research_program/article_015_rejected_multidomain/evaluation_and_verification.md; research_program/article_016_adaptive_capacity/evaluation_and_verification.md; research_program/article_017_institutional_index_negative/evaluation_and_verification.md; research_program/cross_article_review_A001_A017.md,No manuscript integration authorized from uncorrected claims; verified external-source takeaways recorded in article_014_017_external_verification_sources.md.
I-ALL-ARTICLES-PHASE1,A001-A017,implementation,Implement first feasible wave of all logged article corrections in corrected source files,revised_articles and all-article implementation ledger,critical,completed,D-A014-A017-VERIFY-01;D-EXT-ALLREC-01,research_program/article_correction_implementation_ledger.csv; research_program/all_article_corrections_implementation_plan.md; revised_articles/,Implemented A001 A002 A006 A007 A011-A017; A008/A009 replaced rather than patched; A010 preserved as negative audit; A003-A005 are next source-revision phase.
I-INTEGRATE-A001-A013,A001-A013,implementation,Integrate corrected previous article corpus after A014-A017,revised sustainability manuscript and traceability,critical,completed,I-INTEGRATE-A014-A017;I-ALL-ARTICLES-PHASE2,revised_sustainability_manuscript.md §§15A 19A 23B 30.0B 30.0C and canonical sections; revised_manuscript_traceability.md,Minimum-paper and non-loss rules preserved; rejected sources represented by clean redesigns or negative audits.
D-DEEP-LOSS-SCAN-01,A001-A017,cross_source_decision,Complete deep content-loss and restoration audit after ordered integration,manuscript non-loss and publication architecture,critical,completed,I-INTEGRATE-A001-A013,research_program/deep_content_loss_and_restoration_audit_A001_A017.md; research_program/restoration_docket_A001_A017.csv,No destructive deletion found; formal over-condensation identified.
R-MAIN-04,A001+A002+A013,implementation,Restore CES and Farkas substitution theorem pair,flagship substitution module,critical,completed,D-DEEP-LOSS-SCAN-01,revised_sustainability_manuscript.md §6.5A,Do not restore rejected or unverified claims; use corrected sources and preserve status. Restored from corrected sources with scope and evidence status preserved.
R-MAIN-05,A001,implementation,Restore composition destruction rescue and shared-capacity examples,flagship composition section,critical,completed,D-DEEP-LOSS-SCAN-01,revised_sustainability_manuscript.md §12.9,Do not restore rejected or unverified claims; use corrected sources and preserve status. Restored from corrected sources with scope and evidence status preserved.
R-MAIN-10,A013,implementation,Restore accepted accounting application examples with exact diagnostic labels,flagship accounting instantiation,high,completed,D-DEEP-LOSS-SCAN-01,revised_sustainability_manuscript.md §19A.1,Do not restore rejected or unverified claims; use corrected sources and preserve status. Restored from corrected sources with scope and evidence status preserved.
D-FULL-HISTORY-SCAN-01,HISTORICAL-CORPUS,cross_source_decision,Rerun full non-loss scan across all prior manuscript turns and archived revisions after restoration,flagship supplement corrected sources and backstage methodology,critical,completed,R-MAIN-01;R-MAIN-02;R-MAIN-03;R-MAIN-04;R-MAIN-05;R-MAIN-06;R-MAIN-07;R-MAIN-08;R-MAIN-09;R-MAIN-10;R-SUP-01,research_program/full_historical_nonloss_rescan_all_prior_turns.md; research_program/historical_nonloss_coverage_matrix.csv; research_program/full_history_low_match_candidates.txt,All legitimate historical concepts have a current destination; superseded false forms and backstage workflow material remain intentionally excluded from manuscript exposition.
D-A018-A025-RECEIVE,A018-A025,cross_source_decision,Receive hash and line-audit coordinated eight-article packet and roadmap,source registry and integration queue,critical,completed,,research_program/new_packet_A018_A025_line_level_joint_audit.md,A025 is a status record rather than a complete article.
